feature_index,feature_name,importance
f27,latitude_abs,84187.546875
f37,soil_texture_code,31053.779296875
f31,igbp_code,25645.900390625
f45,clay_percentage,21536.671875
f16,stand_height,19426.958984375
f47,silt_percentage,13161.662109375
f29,leaf_habit_code,11278.7060546875
f4,ppfd_in,9325.8271484375
f42,tree_age_class_code,6520.732421875
f24,pl_bark_thick,4253.4619140625
f12,mean_annual_precip,4018.886474609375
f28,aridity_index,3800.6533203125
f19,n_trees,2763.463623046875
f15,tree_density,2633.3984375
f22,pl_height,2557.337646484375
f26,pl_sapw_depth,2477.271728515625
f10,elevation,2189.83154296875
f2,vpd,2007.627197265625
f20,pl_age,1720.972412109375
f25,pl_sapw_area,1717.2384033203125
f40,pl_social_code,1568.8897705078125
f13,stand_age,1526.17333984375
f3,sw_in,1447.4462890625
f14,basal_area,1419.8092041015625
f8,latitude,1407.8016357421875
f32,social_status_code,1245.064208984375
f41,tree_size_class_code,1146.1572265625
f38,terrain_code,1127.392822265625
f21,pl_dbh,950.1424560546875
f34,tree_volume_index,937.3098754882812
f17,leaf_area_index,904.1635131835938
f44,swc_shallow,874.456298828125
f7,ext_rad,845.9215698242188
f9,longitude,749.4288330078125
f39,growth_condition_code,746.9279174804688
f46,sand_percentage,567.666748046875
f11,mean_annual_temp,534.6196899414062
f23,pl_leaf_area,447.20623779296875
f0,ta,442.140869140625
f18,soil_depth,386.7999267578125
f1,rh,352.8739013671875
f30,biome_code,244.55462646484375
f5,ws,227.19503784179688
f33,sapwood_leaf_ratio,226.64688110351562
f36,igbp_class_code,175.28855895996094
f6,precip,50.03815460205078
