feature_index,feature_name,description,category,importance_score
f11,stand_age,No description available,Unknown category,221976.265625
f7,longitude,No description available,Unknown category,166180.28125
f9,mean_annual_temp,No description available,Unknown category,113433.3125
f12,stand_height,No description available,Unknown category,44511.03125
f5,ext_rad,No description available,Unknown category,31331.068359375
f8,elevation,No description available,Unknown category,20535.05859375
f47,leaf_area_index,No description available,Unknown category,15136.919921875
f25,latitude_abs,No description available,Unknown category,11772.873046875
f20,pl_height,No description available,Unknown category,8550.181640625
f38,pl_social_code,No description available,Unknown category,8149.12109375
f45,basal_area,No description available,Unknown category,8059.0771484375
f23,pl_sapw_area,No description available,Unknown category,6958.3388671875
f6,latitude,No description available,Unknown category,6709.67236328125
f30,social_status_code,No description available,Unknown category,5860.7216796875
f46,tree_density,No description available,Unknown category,5706.9072265625
f32,tree_volume_index,No description available,Unknown category,5194.77978515625
f15,silt_percentage,No description available,Unknown category,4922.96435546875
f10,mean_annual_precip,No description available,Unknown category,4684.62744140625
f26,aridity_index,No description available,Unknown category,3928.44775390625
f22,pl_bark_thick,No description available,Unknown category,3773.318603515625
f17,n_trees,No description available,Unknown category,3754.602294921875
f24,pl_sapw_depth,No description available,Unknown category,3563.73828125
f1,rh,No description available,Unknown category,3553.896728515625
f39,tree_size_class_code,No description available,Unknown category,3309.433349609375
f19,pl_dbh,No description available,Unknown category,3199.67431640625
f31,sapwood_leaf_ratio,No description available,Unknown category,3119.352294921875
f4,vpd,No description available,Unknown category,3054.947509765625
f29,igbp_code,No description available,Unknown category,3016.735595703125
f44,ppfd_in,No description available,Unknown category,2770.206298828125
f35,soil_texture_code,No description available,Unknown category,2766.550537109375
f13,clay_percentage,No description available,Unknown category,2713.967041015625
f0,ta,No description available,Unknown category,2410.348876953125
f21,pl_leaf_area,No description available,Unknown category,2353.764892578125
f34,igbp_class_code,No description available,Unknown category,2326.43701171875
f14,sand_percentage,No description available,Unknown category,2227.801025390625
f16,soil_depth,No description available,Unknown category,1861.8724365234375
f36,terrain_code,No description available,Unknown category,1748.6541748046875
f42,sw_in,No description available,Unknown category,1738.6512451171875
f18,pl_age,No description available,Unknown category,1510.2835693359375
f37,growth_condition_code,No description available,Unknown category,1433.58984375
f2,ws,No description available,Unknown category,1187.1026611328125
f43,swc_shallow,No description available,Unknown category,1123.6361083984375
f40,tree_age_class_code,No description available,Unknown category,1107.04736328125
f3,precip,No description available,Unknown category,719.3839721679688
f28,biome_code,No description available,Unknown category,138.56564331054688
