feature_index,feature_name,importance
f61,n_trees,244700.296875
f368,species_functional_group_code,231715.25
f100,aridity_index,129410.8203125
f48,tree_density,82637.9375
f43,vpd_ppfd_interaction,46159.9296875
f42,mean_annual_precip,28809.330078125
f64,stomatal_control_index,20932.16015625
f34,solar_hour_cos,12147.4931640625
f9,day_of_year,5430.3798828125
f289,ppfd_in_range_720h,4126.42578125
f7,ext_rad,4077.787353515625
f365,pl_social_code,3710.11572265625
f367,tree_age_class_code,2826.388916015625
f97,pl_sapw_depth,2664.937744140625
f15,day_sin,2622.248046875
f41,mean_annual_temp,2437.32568359375
f66,sapwood_leaf_ratio,2329.73974609375
f32,solar_day_of_year,2172.51123046875
f288,ppfd_in_max_720h,2109.8681640625
f311,sw_in_lag_6h,2074.642333984375
f91,pl_age,1974.248046875
f45,stand_age,1973.1309814453125
f94,pl_leaf_area,1945.34912109375
f93,pl_height,1931.1988525390625
f196,sw_in_std_720h,1903.1148681640625
f340,vpd_rate_24h,1562.171875
f366,tree_size_class_code,1490.0955810546875
f157,vpd_min_168h,1465.455078125
f103,ta_max_720h,1461.81689453125
f96,pl_sapw_area,1386.814453125
f174,sw_in_mean_12h,1310.0220947265625
f37,latitude,1299.1888427734375
f169,vpd_range_720h,1227.37890625
f309,sw_in_lag_2h,1047.4554443359375
f16,day_cos,1037.4564208984375
f162,vpd_min_336h,1007.1072387695312
f260,ppfd_in_mean_3h,894.3992919921875
f296,rh_lag_1h,864.6242065429688
f168,vpd_max_720h,770.6481323242188
f46,temp_humidity_ratio,758.7612915039062
f339,vpd_rate_6h,723.7077026367188
f229,ws_range_720h,706.664794921875
f95,pl_bark_thick,683.0449829101562
f287,ppfd_in_min_720h,679.6689453125
f172,sw_in_mean_6h,677.2691040039062
f228,ws_max_720h,673.3883666992188
f92,pl_dbh,621.6838989257812
f102,ta_min_720h,605.3967895507812
f39,elevation,604.9144287109375
f13,hour_sin,587.9259643554688
f36,solar_day_cos,574.2939453125
f38,longitude,568.5564575195312
f111,tree_volume_index,560.4667358398438
f35,solar_day_sin,550.1118774414062
f310,sw_in_lag_3h,546.4331665039062
f257,precip_min_720h,536.140625
f302,vpd_lag_1h,521.2841796875
f135,rh_mean_720h,510.1869812011719
f56,soil_depth,501.9869689941406
f137,rh_min_720h,474.09759521484375
f44,vpd_ta_interaction,463.37939453125
f226,ws_std_720h,454.12896728515625
f225,ws_mean_720h,440.9476318359375
f104,ta_range_720h,431.5415344238281
f18,month_cos,425.3441467285156
f138,rh_max_720h,422.11138916015625
f11,year,409.3970642089844
f88,ta_min_336h,405.2749328613281
f139,rh_range_720h,387.2251281738281
f1,rh,377.6801452636719
f264,ppfd_in_mean_12h,368.6919250488281
f286,ppfd_in_std_720h,363.8246765136719
f21,is_weekend,360.9814147949219
f152,vpd_min_72h,357.1114196777344
f303,vpd_lag_2h,348.35107421875
f109,rh_mean_3h,346.4179992675781
f156,vpd_std_168h,346.18768310546875
f10,month,342.62237548828125
f262,ppfd_in_mean_6h,341.35150146484375
f155,vpd_mean_168h,339.64166259765625
f392,swc_shallow_range_168h,332.8589782714844
