feature_index,feature_name,importance
f8,ext_rad,126961.6015625
f35,igbp_code,102176.046875
f28,pl_bark_thick,54141.63671875
f21,silt_percentage,50218.6796875
f29,pl_sapw_area,46531.18359375
f33,leaf_habit_code,31977.978515625
f19,clay_percentage,26783.482421875
f0,ta,22409.51171875
f30,pl_sapw_depth,18277.025390625
f10,longitude,15837.876953125
f1,rh,9369.0576171875
f13,mean_annual_precip,7792.26318359375
f25,pl_dbh,6895.84716796875
f45,tree_size_class_code,5560.35791015625
f9,latitude,5323.8232421875
f41,soil_texture_code,5127.85400390625
f2,vpd,4609.84521484375
f15,basal_area,3555.588623046875
f17,stand_height,3266.882080078125
f4,ppfd_in,3090.4384765625
f44,pl_social_code,2413.87841796875
f12,mean_annual_temp,2252.77294921875
f36,social_status_code,2197.395263671875
f23,n_trees,2073.334716796875
f18,leaf_area_index,1931.8397216796875
f20,sand_percentage,1879.2745361328125
f16,tree_density,1875.2823486328125
f40,igbp_class_code,1754.6265869140625
f43,growth_condition_code,1414.977783203125
f32,aridity_index,1224.720703125
f46,tree_age_class_code,1221.488037109375
f42,terrain_code,1187.134521484375
f22,soil_depth,1093.2052001953125
f11,elevation,1089.97021484375
f14,stand_age,1054.242919921875
f3,sw_in,890.7728271484375
f38,tree_volume_index,720.6520385742188
f24,pl_age,670.3306274414062
f7,swc_shallow,660.4661254882812
f31,latitude_abs,470.31829833984375
f5,ws,448.3885498046875
f6,precip,359.7457580566406
f26,pl_height,349.4378356933594
f27,pl_leaf_area,315.707763671875
f37,sapwood_leaf_ratio,245.79615783691406
f47,species_functional_group_code,138.6605682373047
