feature_index,feature_name,importance
f14,stand_height,53475.84765625
f8,elevation,48721.765625
f54,terrain_code,26743.279296875
f7,longitude,17778.08203125
f10,mean_annual_precip,16844.90234375
f59,species_functional_group_code,14940.4755859375
f6,latitude,13221.2431640625
f65,leaf_area_index,12945.701171875
f19,silt_percentage,12821.5263671875
f9,mean_annual_temp,7967.8720703125
f15,clay_percentage,7147.25
f47,social_status_code,5327.5107421875
f42,latitude_abs,4130.2041015625
f5,ext_rad,3624.803955078125
f26,n_trees,3622.26708984375
f20,soil_depth,3619.78369140625
f18,vpd_ppfd_interaction,2803.71435546875
f43,aridity_index,2788.7861328125
f64,tree_density,2784.674072265625
f29,stomatal_control_index,2740.8798828125
f17,sand_percentage,2620.379150390625
f63,basal_area,2596.432861328125
f30,radiation_temp_interaction,2181.294677734375
f21,vpd_ta_interaction,2119.530029296875
f4,vpd,1971.725341796875
f37,pl_height,1938.0443115234375
f39,pl_bark_thick,1857.44189453125
f35,pl_age,1847.22314453125
f45,biome_code,1753.06640625
f33,sapwood_leaf_ratio,1728.0953369140625
f48,tree_volume_index,1492.5467529296875
f25,wind_vpd_interaction,1333.4715576171875
f56,pl_social_code,1233.7772216796875
f44,leaf_habit_code,1229.043212890625
f12,stand_age,1194.0777587890625
f23,temp_humidity_ratio,1184.8594970703125
f28,temp_soil_interaction,1155.021728515625
f41,pl_sapw_depth,1082.4210205078125
f57,tree_size_class_code,1062.00537109375
f22,wind_stress,1028.9410400390625
f1,rh,1022.1732177734375
f3,precip,1000.6167602539062
f2,ws,960.2156372070312
f13,temp_deviation,955.916259765625
f53,soil_texture_code,903.3148803710938
f58,tree_age_class_code,883.4510498046875
f55,growth_condition_code,867.7926635742188
f40,pl_sapw_area,850.0982666015625
f61,swc_shallow,836.1204223632812
f38,pl_leaf_area,818.1011962890625
f0,ta,815.4960327148438
f62,ppfd_in,730.4602661132812
f36,pl_dbh,729.9772338867188
f11,ppfd_efficiency,666.9555053710938
f24,water_stress_index,583.31982421875
f60,sw_in,541.158447265625
f46,igbp_code,486.42144775390625
f16,stomatal_conductance_proxy,341.5238342285156
f27,light_efficiency,340.026611328125
f31,humidity_soil_interaction,325.8193664550781
f52,igbp_class_code,164.5415802001953
