feature_index,feature_name,description,category,importance_score
f41,vpd_ppfd_interaction,No description available,Unknown category,96366.9296875
f98,aridity_index,No description available,Unknown category,51834.84765625
f293,leaf_area_index,No description available,Unknown category,34998.4296875
f278,soil_texture_code,No description available,Unknown category,25251.923828125
f51,radiation_temp_interaction,No description available,Unknown category,21681.24609375
f40,mean_annual_precip,No description available,Unknown category,19667.857421875
f288,clay_percentage,No description available,Unknown category,18222.884765625
f101,igbp_code,No description available,Unknown category,17505.095703125
f32,solar_hour_cos,No description available,Unknown category,17297.2109375
f291,basal_area,No description available,Unknown category,16986.447265625
f46,stand_height,No description available,Unknown category,14201.5908203125
f56,n_trees,No description available,Unknown category,10803.2666015625
f401,swc_shallow_max_720h,No description available,Unknown category,8980.580078125
f295,rh_mean_3h,No description available,Unknown category,8285.0341796875
f292,tree_density,No description available,Unknown category,7413.33935546875
f402,swc_shallow_range_720h,No description available,Unknown category,7371.29931640625
f89,pl_bark_thick,No description available,Unknown category,7085.22802734375
f35,latitude,No description available,Unknown category,7014.19287109375
f294,soil_depth,No description available,Unknown category,6817.78369140625
f7,day_of_year,No description available,Unknown category,6203.68505859375
f16,month_cos,No description available,Unknown category,5753.45263671875
f194,ppfd_in_mean_3h,No description available,Unknown category,5595.9296875
f400,swc_shallow_min_720h,No description available,Unknown category,5536.591796875
f44,stand_age,No description available,Unknown category,5263.33984375
f37,longitude,No description available,Unknown category,5023.7431640625
f221,ppfd_in_min_720h,No description available,Unknown category,4709.50634765625
f92,latitude_abs,No description available,Unknown category,4617.2802734375
f39,mean_annual_temp,No description available,Unknown category,4454.40673828125
f222,ppfd_in_max_720h,No description available,Unknown category,4439.482421875
f277,igbp_class_code,No description available,Unknown category,4183.80615234375
f91,pl_sapw_depth,No description available,Unknown category,3888.989990234375
f281,pl_social_code,No description available,Unknown category,3881.18017578125
f13,day_sin,No description available,Unknown category,3443.675537109375
f133,sw_in_range_720h,No description available,Unknown category,3201.639404296875
f131,sw_in_min_720h,No description available,Unknown category,3109.330810546875
f286,vpd,No description available,Unknown category,3098.855224609375
f289,sand_percentage,No description available,Unknown category,3088.940185546875
f87,pl_height,No description available,Unknown category,3064.24462890625
f90,pl_sapw_area,No description available,Unknown category,3061.80517578125
f14,day_cos,No description available,Unknown category,2984.762939453125
f230,sw_in_lag_1h,No description available,Unknown category,2938.51806640625
f102,sw_in_mean_3h,No description available,Unknown category,2910.031494140625
f96,ta_max_720h,No description available,Unknown category,2878.447998046875
f349,vpd_range_336h,No description available,Unknown category,2850.48193359375
f128,sw_in_range_336h,No description available,Unknown category,2772.02587890625
f105,tree_volume_index,No description available,Unknown category,2628.933349609375
f398,swc_shallow_mean_720h,No description available,Unknown category,2408.250244140625
f354,vpd_range_720h,No description available,Unknown category,2318.811279296875
f211,ppfd_in_min_168h,No description available,Unknown category,2268.49169921875
f5,ext_rad,No description available,Unknown category,2227.81787109375
f162,ws_max_720h,No description available,Unknown category,2108.77783203125
f95,ta_min_720h,No description available,Unknown category,2009.3831787109375
f42,vpd_ta_interaction,No description available,Unknown category,1932.9454345703125
f279,terrain_code,No description available,Unknown category,1918.73095703125
f9,year,No description available,Unknown category,1895.97705078125
f86,pl_dbh,No description available,Unknown category,1892.5615234375
f282,tree_size_class_code,No description available,Unknown category,1880.17333984375
f223,ppfd_in_range_720h,No description available,Unknown category,1873.9345703125
f30,solar_day_of_year,No description available,Unknown category,1809.83984375
f62,sapwood_leaf_ratio,No description available,Unknown category,1749.6419677734375
f395,swc_shallow_min_336h,No description available,Unknown category,1726.9390869140625
f33,solar_day_sin,No description available,Unknown category,1722.4678955078125
f353,vpd_max_720h,No description available,Unknown category,1708.2012939453125
f161,ws_min_720h,No description available,Unknown category,1682.144287109375
f100,biome_code,No description available,Unknown category,1664.184814453125
f290,silt_percentage,No description available,Unknown category,1634.1287841796875
f348,vpd_max_336h,No description available,Unknown category,1594.3568115234375
f283,tree_age_class_code,No description available,Unknown category,1572.6693115234375
f34,solar_day_cos,No description available,Unknown category,1558.1474609375
f220,ppfd_in_std_720h,No description available,Unknown category,1507.5777587890625
f85,pl_age,No description available,Unknown category,1471.0562744140625
f93,ta_mean_720h,No description available,Unknown category,1470.761474609375
f322,rh_min_720h,No description available,Unknown category,1433.0860595703125
f104,social_status_code,No description available,Unknown category,1427.3692626953125
f24,is_summer,No description available,Unknown category,1412.715576171875
f393,swc_shallow_mean_336h,No description available,Unknown category,1404.8653564453125
f372,vpd_rate_24h,No description available,Unknown category,1366.0631103515625
f342,vpd_min_168h,No description available,Unknown category,1354.1075439453125
f15,month_sin,No description available,Unknown category,1335.5487060546875
f206,ppfd_in_min_72h,No description available,Unknown category,1322.1768798828125
f53,stomatal_conductance_proxy,No description available,Unknown category,1321.076904296875
f121,sw_in_min_168h,No description available,Unknown category,1247.1942138671875
f216,ppfd_in_min_336h,No description available,Unknown category,1216.171630859375
f77,ta_min_168h,No description available,Unknown category,1207.549560546875
f43,temp_humidity_ratio,No description available,Unknown category,1185.5341796875
f390,swc_shallow_min_168h,No description available,Unknown category,1165.479248046875
f392,swc_shallow_range_168h,No description available,Unknown category,1162.5787353515625
f88,pl_leaf_area,No description available,Unknown category,1158.6474609375
f323,rh_max_720h,No description available,Unknown category,1135.0946044921875
f47,light_efficiency,No description available,Unknown category,1131.1929931640625
f97,ta_range_720h,No description available,Unknown category,1123.28759765625
f352,vpd_min_720h,No description available,Unknown category,1092.5867919921875
f151,ws_min_168h,No description available,Unknown category,1083.6982421875
f20,is_morning,No description available,Unknown category,1079.9482421875
f324,rh_range_720h,No description available,Unknown category,1075.3739013671875
f163,ws_range_720h,No description available,Unknown category,1073.103515625
f233,sw_in_lag_6h,No description available,Unknown category,1062.3525390625
f377,swc_shallow_mean_12h,No description available,Unknown category,1061.88037109375
f388,swc_shallow_mean_168h,No description available,Unknown category,1044.599609375
f397,swc_shallow_range_336h,No description available,Unknown category,1044.5028076171875
f25,is_autumn,No description available,Unknown category,1036.70849609375
f249,ppfd_in_lag_2h,No description available,Unknown category,1026.4256591796875
f160,ws_std_720h,No description available,Unknown category,1023.6224975585938
f255,ta_rate_6h,No description available,Unknown category,1017.0405883789062
f130,sw_in_std_720h,No description available,Unknown category,1016.970458984375
f385,swc_shallow_min_72h,No description available,Unknown category,1001.0075073242188
f371,vpd_rate_6h,No description available,Unknown category,998.3504028320312
f82,ta_min_336h,No description available,Unknown category,976.7633056640625
f347,vpd_min_336h,No description available,Unknown category,975.8966064453125
f6,hour,No description available,Unknown category,958.225830078125
f58,stomatal_control_index,No description available,Unknown category,943.7307739257812
f12,hour_cos,No description available,Unknown category,922.5718994140625
f285,rh,No description available,Unknown category,917.8460693359375
f23,is_spring,No description available,Unknown category,912.8229370117188
f31,solar_hour_sin,No description available,Unknown category,907.020263671875
f196,ppfd_in_mean_6h,No description available,Unknown category,899.3955078125
f4,sw_in,No description available,Unknown category,895.9765014648438
f127,sw_in_max_336h,No description available,Unknown category,886.7446899414062
f156,ws_min_336h,No description available,Unknown category,878.0025024414062
f396,swc_shallow_max_336h,No description available,Unknown category,874.2481079101562
f215,ppfd_in_std_336h,No description available,Unknown category,873.7216796875
f399,swc_shallow_std_720h,No description available,Unknown category,821.4313354492188
f284,species_functional_group_code,No description available,Unknown category,814.5224609375
f317,rh_min_336h,No description available,Unknown category,807.5547485351562
f231,sw_in_lag_2h,No description available,Unknown category,790.516357421875
f38,elevation,No description available,Unknown category,781.4404296875
f387,swc_shallow_range_72h,No description available,Unknown category,767.3562622070312
f49,temp_soil_interaction,No description available,Unknown category,758.0306396484375
f132,sw_in_max_720h,No description available,Unknown category,756.8685302734375
f126,sw_in_min_336h,No description available,Unknown category,750.0712280273438
f373,swc_shallow_mean_3h,No description available,Unknown category,743.6124877929688
f109,sw_in_std_12h,No description available,Unknown category,725.499755859375
f192,precip_max_720h,No description available,Unknown category,724.76904296875
f27,hours_since_sunrise,No description available,Unknown category,721.3817138671875
f248,ppfd_in_lag_1h,No description available,Unknown category,717.6648559570312
f251,ppfd_in_lag_6h,No description available,Unknown category,711.3326416015625
f408,swc_shallow_lag_24h,No description available,Unknown category,705.7935791015625
f225,ta_lag_2h,No description available,Unknown category,689.4141845703125
f189,precip_mean_720h,No description available,Unknown category,683.0255126953125
f310,rh_mean_168h,No description available,Unknown category,680.6417236328125
f29,solar_hour,No description available,Unknown category,668.8536987304688
f18,is_peak_sunlight,No description available,Unknown category,643.789794921875
f320,rh_mean_720h,No description available,Unknown category,641.2197875976562
f94,ta_std_720h,No description available,Unknown category,624.2769165039062
f209,ppfd_in_mean_168h,No description available,Unknown category,622.14990234375
f297,rh_mean_6h,No description available,Unknown category,619.2750854492188
f22,is_night,No description available,Unknown category,612.72265625
f217,ppfd_in_max_336h,No description available,Unknown category,602.9837646484375
f106,sw_in_mean_6h,No description available,Unknown category,591.1190185546875
f351,vpd_std_720h,No description available,Unknown category,590.840087890625
f80,ta_mean_336h,No description available,Unknown category,588.5574340820312
f84,ta_range_336h,No description available,Unknown category,583.1085815429688
f318,rh_max_336h,No description available,Unknown category,577.5480346679688
f219,ppfd_in_mean_720h,No description available,Unknown category,570.88818359375
f200,ppfd_in_mean_24h,No description available,Unknown category,570.4003295898438
f369,rh_rate_24h,No description available,Unknown category,566.306640625
f307,rh_min_72h,No description available,Unknown category,561.8486328125
f108,sw_in_mean_12h,No description available,Unknown category,556.0346069335938
f78,ta_max_168h,No description available,Unknown category,549.5361328125
f273,sw_in_cum_72h,No description available,Unknown category,540.415283203125
f50,wind_vpd_interaction,No description available,Unknown category,535.8428344726562
f383,swc_shallow_mean_72h,No description available,Unknown category,532.0571899414062
f346,vpd_std_336h,No description available,Unknown category,530.8933715820312
f11,hour_sin,No description available,Unknown category,530.8388061523438
f344,vpd_range_168h,No description available,Unknown category,529.4338989257812
f116,sw_in_min_72h,No description available,Unknown category,526.7440185546875
f384,swc_shallow_std_72h,No description available,Unknown category,525.5339965820312
f337,vpd_min_72h,No description available,Unknown category,517.8050537109375
f155,ws_std_336h,No description available,Unknown category,513.544677734375
f129,sw_in_mean_720h,No description available,Unknown category,511.7028503417969
f83,ta_max_336h,No description available,Unknown category,510.8046569824219
f315,rh_mean_336h,No description available,Unknown category,508.99798583984375
f204,ppfd_in_mean_72h,No description available,Unknown category,497.26422119140625
f308,rh_max_72h,No description available,Unknown category,494.42169189453125
f410,swc_shallow_rate_6h,No description available,Unknown category,483.0317077636719
f143,ws_std_48h,No description available,Unknown category,480.4519958496094
f313,rh_max_168h,No description available,Unknown category,478.4351806640625
f28,hours_since_sunset,No description available,Unknown category,471.821533203125
f45,water_stress_index,No description available,Unknown category,471.425048828125
f256,ta_rate_24h,No description available,Unknown category,466.2814025878906
f195,ppfd_in_std_3h,No description available,Unknown category,465.726806640625
f350,vpd_mean_720h,No description available,Unknown category,463.1931457519531
f214,ppfd_in_mean_336h,No description available,Unknown category,458.5574035644531
f81,ta_std_336h,No description available,Unknown category,453.5699157714844
f312,rh_min_168h,No description available,Unknown category,453.16571044921875
f210,ppfd_in_std_168h,No description available,Unknown category,447.734375
f72,ta_min_72h,No description available,Unknown category,439.0665588378906
f218,ppfd_in_range_336h,No description available,Unknown category,435.46575927734375
f343,vpd_max_168h,No description available,Unknown category,434.1439208984375
f327,vpd_mean_6h,No description available,Unknown category,429.2892761230469
f125,sw_in_std_336h,No description available,Unknown category,427.9610290527344
f159,ws_mean_720h,No description available,Unknown category,424.2574768066406
f266,ppfd_in_rate_1h,No description available,Unknown category,423.9252014160156
f193,precip_range_720h,No description available,Unknown category,419.8056640625
f411,swc_shallow_rate_24h,No description available,Unknown category,419.4847412109375
f375,swc_shallow_mean_6h,No description available,Unknown category,417.8071594238281
f321,rh_std_720h,No description available,Unknown category,415.6954650878906
f111,sw_in_std_24h,No description available,Unknown category,413.1932678222656
f361,vpd_lag_1h,No description available,Unknown category,407.2380065917969
f341,vpd_std_168h,No description available,Unknown category,406.96160888671875
f380,swc_shallow_std_24h,No description available,Unknown category,404.6844177246094
f378,swc_shallow_std_12h,No description available,Unknown category,401.7869567871094
f75,ta_mean_168h,No description available,Unknown category,399.9468688964844
f190,precip_std_720h,No description available,Unknown category,398.26031494140625
f153,ws_range_168h,No description available,Unknown category,396.6405944824219
