feature_index,feature_name,importance
f9,mean_annual_temp,228747.34375
f7,longitude,139829.765625
f5,ext_rad,124174.9296875
f22,pl_bark_thick,94279.3828125
f12,stand_height,71996.5859375
f23,pl_sapw_area,54740.4453125
f8,elevation,52096.30859375
f10,mean_annual_precip,42530.359375
f25,latitude_abs,31252.212890625
f47,leaf_area_index,29840.423828125
f39,tree_size_class_code,26614.953125
f0,ta,25055.94140625
f40,tree_age_class_code,19160.716796875
f1,rh,18207.388671875
f36,terrain_code,15614.5
f38,pl_social_code,12825.4609375
f6,latitude,12460.29296875
f20,pl_height,11830.3251953125
f19,pl_dbh,10594.55078125
f32,tree_volume_index,9193.0888671875
f30,social_status_code,8990.4208984375
f15,silt_percentage,7823.07666015625
f16,soil_depth,6571.16064453125
f14,sand_percentage,6091.6025390625
f11,stand_age,5657.61279296875
f4,vpd,4136.5166015625
f24,pl_sapw_depth,4085.79541015625
f45,basal_area,3116.569580078125
f13,clay_percentage,3074.7705078125
f18,pl_age,2844.646484375
f46,tree_density,2658.155029296875
f44,ppfd_in,2446.162841796875
f17,n_trees,2238.66064453125
f26,aridity_index,2087.23876953125
f31,sapwood_leaf_ratio,2048.260498046875
f29,igbp_code,1720.3280029296875
f42,sw_in,1711.1373291015625
f43,swc_shallow,1534.4539794921875
f21,pl_leaf_area,1482.37841796875
f35,soil_texture_code,1246.6513671875
f2,ws,1150.8060302734375
f34,igbp_class_code,935.52880859375
f37,growth_condition_code,724.1722412109375
f3,precip,574.6954345703125
f41,species_functional_group_code,260.5577697753906
f28,biome_code,201.0179443359375
