feature_index,feature_name,importance
f330,stand_age,16711.193359375
f331,basal_area,10267.8076171875
f33,solar_hour_cos,9341.74609375
f41,mean_annual_precip,8788.140625
f329,silt_percentage,8481.40234375
f88,latitude_abs,4556.642578125
f68,ta_std_24h,4432.31884765625
f38,elevation,4300.05126953125
f89,aridity_index,4211.97705078125
f36,latitude,3620.571044921875
f327,clay_percentage,3445.79296875
f5,sw_in,3169.70751953125
f90,leaf_habit_code,3055.53515625
f37,longitude,2241.75439453125
f285,ppfd_in_lag_1h,2129.63671875
f317,igbp_class_code,1548.13623046875
f135,vpd_mean_3h,1521.3853759765625
f293,ta_rate_24h,1478.804931640625
f333,soil_depth,1420.333740234375
f47,leaf_area_index,1348.200927734375
f328,sand_percentage,1325.416748046875
f320,growth_condition_code,1097.59228515625
f225,ppfd_in_mean_3h,1064.368896484375
f97,igbp_code,990.9888305664062
f84,pl_leaf_area,954.7110595703125
f372,precip_rate_24h,871.9744873046875
f165,sw_in_mean_3h,848.6996459960938
f296,rh_rate_24h,795.8704223632812
f102,ta_min_720h,724.6251220703125
f100,ta_mean_720h,685.2302856445312
f45,vpd_ta_interaction,640.9521484375
f336,precip_mean_6h,639.4420776367188
f299,vpd_rate_24h,551.2481079101562
f98,social_status_code,548.0011596679688
f2,vpd,547.8092041015625
f17,month_cos,534.5509643554688
f334,precip_mean_3h,501.5577087402344
f30,solar_hour,484.643310546875
f292,ta_rate_6h,451.6964111328125
f54,n_trees,441.6870422363281
f253,ppfd_in_max_720h,435.0208435058594
f95,ta_max_336h,423.50244140625
f163,vpd_max_720h,422.0216369628906
f208,swc_shallow_max_72h,406.9171142578125
f249,ppfd_in_range_336h,404.38897705078125
f50,ta_mean_3h,396.80072021484375
f308,ppfd_in_rate_24h,390.8873596191406
f164,vpd_range_720h,383.3342590332031
f10,year,360.1886291503906
f76,ta_mean_168h,353.9603576660156
f273,sw_in_lag_1h,348.7725524902344
f22,is_afternoon,347.548095703125
f267,vpd_lag_1h,345.4845886230469
f16,month_sin,341.531982421875
f248,ppfd_in_max_336h,335.4159240722656
f364,precip_lag_1h,325.2594299316406
f12,hour_sin,321.6872253417969
