feature_index,feature_name,description,category,importance_score
f9,elevation,No description available,Unknown category,6051.12646484375
f45,basal_area,No description available,Unknown category,3880.120849609375
f10,mean_annual_temp,No description available,Unknown category,2728.456787109375
f22,latitude_abs,No description available,Unknown category,2560.061279296875
f7,latitude,No description available,Unknown category,2460.5908203125
f11,mean_annual_precip,No description available,Unknown category,1707.395751953125
f47,soil_depth,No description available,Unknown category,1118.5902099609375
f28,sapwood_leaf_ratio,No description available,Unknown category,706.7736206054688
f5,sw_in,No description available,Unknown category,598.4956665039062
f35,pl_social_code,No description available,Unknown category,464.7414855957031
f13,leaf_area_index,No description available,Unknown category,427.1215515136719
f8,longitude,No description available,Unknown category,413.0222473144531
f18,pl_leaf_area,No description available,Unknown category,384.1512756347656
f6,ext_rad,No description available,Unknown category,369.97003173828125
f27,social_status_code,No description available,Unknown category,311.4854431152344
f2,vpd,No description available,Unknown category,288.260986328125
f23,aridity_index,No description available,Unknown category,286.7162170410156
f40,precip,No description available,Unknown category,280.4827880859375
f3,ppfd_in,No description available,Unknown category,266.4679870605469
f44,stand_age,No description available,Unknown category,237.91510009765625
f17,pl_height,No description available,Unknown category,168.9097442626953
f20,pl_sapw_area,No description available,Unknown category,163.66123962402344
f16,pl_dbh,No description available,Unknown category,162.62857055664062
f21,pl_sapw_depth,No description available,Unknown category,159.4254913330078
f36,tree_size_class_code,No description available,Unknown category,156.53501892089844
f42,sand_percentage,No description available,Unknown category,140.11605834960938
f26,igbp_code,No description available,Unknown category,138.8080596923828
f0,ta,No description available,Unknown category,133.30323791503906
f19,pl_bark_thick,No description available,Unknown category,125.48680877685547
f34,growth_condition_code,No description available,Unknown category,122.38541412353516
f29,tree_volume_index,No description available,Unknown category,106.7734375
f12,stand_height,No description available,Unknown category,102.82526397705078
f14,n_trees,No description available,Unknown category,94.23651123046875
f4,swc_shallow,No description available,Unknown category,84.38374328613281
f1,rh,No description available,Unknown category,74.9261474609375
f31,igbp_class_code,No description available,Unknown category,62.68614959716797
f39,ws,No description available,Unknown category,59.8369026184082
f46,tree_density,No description available,Unknown category,49.73606872558594
f41,clay_percentage,No description available,Unknown category,19.873613357543945
f15,pl_age,No description available,Unknown category,12.490130424499512
f32,soil_texture_code,No description available,Unknown category,9.954826354980469
f43,silt_percentage,No description available,Unknown category,2.5984387397766113
