feature_index,feature_name,description,category,importance_score
f29,is_afternoon,Afternoon indicator (12-18h),Temporal,89794.7109375
f157,rh_min_72h,Relative humidity 72h-hour minimum,Rolling,56075.0625
f244,aridity_index,Aridity Index,Interaction,49728.91796875
f91,rh_mean_3h,Relative humidity 3h-hour mean,Rolling,37296.71484375
f2,sw_in,Shortwave incoming radiation,Environmental,23521.220703125
f151,ppfd_in_lag_1h,PPFD lag 1h,Lagged,19054.12109375
f232,soil_depth,Soil Depth,Soil,18491.578125
f228,basal_area,Basal Area,Structural,17321.56640625
f245,leaf_habit_code,Leaf Habit Code,Ecological,17108.037109375
f258,pl_social_code,Pl Social Code,Structural,16541.962890625
f152,ppfd_in_lag_2h,PPFD lag 2h,Lagged,13850.9931640625
f240,pl_sapw_area,Pl Sapw Area,Structural,13449.15625
f269,humidity_soil_interaction,Humidity × soil interaction,Interaction,11604.9130859375
f250,tree_volume_index,Tree Volume Index,Interaction,11492.7412109375
f6,vpd,Vapor pressure deficit,Environmental,11390.8056640625
f226,is_inside_country,Is Inside Country,Temporal,7460.12548828125
f224,mean_annual_temp,Mean Annual Temp,Other,7439.748046875
f9,day_of_year,Day of year,Temporal,7313.9970703125
f28,is_morning,Morning indicator (6-12h),Temporal,7198.42041015625
f227,stand_age,Stand Age,Structural,7007.0341796875
f144,precip_lag_24h,Precipitation lag 24h,Lagged,6608.3154296875
f158,rh_max_72h,Relative humidity 72h-hour maximum,Rolling,6393.09619140625
f220,stomatal_control_index,Stomatal control index,Interaction,5887.04248046875
f31,is_spring,Spring season indicator,Temporal,5850.73681640625
f34,is_winter,Winter season indicator,Temporal,5264.85693359375
f3,ws,Wind speed,Environmental,4960.61669921875
f225,mean_annual_precip,Mean Annual Precip,Other,4880.12939453125
f22,solar_hour_cos,Cosine of solar hour,Temporal,4585.39013671875
f149,swc_shallow_lag_12h,Soil water content lag 12h,Lagged,4583.50927734375
f262,pl_species_code,Pl Species Code,Ecological,4452.84228515625
f7,ext_rad,Extraterrestrial radiation,Environmental,4413.158203125
f236,pl_dbh,Pl Dbh,Structural,4408.03662109375
f165,rh_range_336h,Relative humidity 336h-hour range,Rolling,4114.05615234375
f24,solar_day_cos,Cosine of solar day,Temporal,4102.30224609375
f25,is_daylight,Daylight indicator (6-18h),Temporal,3961.02099609375
f215,radiation_temp_interaction,Radiation × temperature interaction,Interaction,3823.055908203125
f21,solar_hour_sin,Sine of solar hour,Temporal,3601.94921875
f221,latitude,Latitude,Geographic,3545.936767578125
f235,pl_age,Pl Age,Structural,3537.24755859375
f10,month,Month,Temporal,3510.54052734375
f122,vpd_lag_2h,VPD lag 2h,Lagged,3499.958740234375
f248,social_status_code,Social Status Code,Identity,3414.916748046875
f23,solar_day_sin,Sine of solar day,Temporal,3259.71533203125
f12,day_of_week,Day of week,Temporal,3030.913330078125
f17,month_sin,Sine of month (cyclical),Temporal,3024.538330078125
f184,ta_min_72h,Temperature 72h-hour minimum,Rolling,2968.597900390625
f18,month_cos,Cosine of month (cyclical),Temporal,2897.09130859375
f78,sw_in_std_12h,Shortwave radiation 12h-hour standard deviation,Rolling,2851.350830078125
f249,sapwood_leaf_ratio,Sapwood to leaf area ratio,Interaction,2658.629150390625
f56,vpd_std_3h,VPD 3h-hour standard deviation,Rolling,2609.157958984375
f189,ta_range_168h,Temperature 168h-hour range,Rolling,2590.75244140625
f72,vpd_std_720h,VPD 720h-hour standard deviation,Rolling,2574.642333984375
f159,rh_range_72h,Relative humidity 72h-hour range,Rolling,2535.161376953125
f153,ppfd_in_lag_3h,PPFD lag 3h,Lagged,2529.7685546875
f128,sw_in_lag_2h,Shortwave radiation lag 2h,Lagged,2365.672607421875
f16,day_cos,Cosine of day of year (cyclical),Temporal,2323.447265625
f233,n_trees,N Trees,Other,2290.40673828125
f229,tree_density,Tree Density,Structural,2251.022705078125
f247,igbp_code,Igbp Code,Ecological,2244.065185546875
f214,wind_vpd_interaction,Wind × VPD interaction,Interaction,2213.373046875
f15,day_sin,Sine of day of year (cyclical),Temporal,2180.5517578125
f202,ta_rate_1h,Temperature rate of change 1h,Rate of Change,2161.470947265625
f264,clay_percentage,Clay Percentage,Soil,2057.067626953125
f154,ppfd_in_lag_6h,PPFD lag 6h,Lagged,1915.1185302734375
f261,species_functional_group_code,Species Functional Group Code,Ecological,1888.7279052734375
f14,hour_cos,Cosine of hour (cyclical),Temporal,1880.519287109375
f146,swc_shallow_lag_2h,Soil water content lag 2h,Lagged,1872.3470458984375
f77,sw_in_mean_12h,Shortwave radiation 12h-hour mean,Rolling,1869.9114990234375
f8,hour,Hour of day,Temporal,1857.537109375
