feature_index,feature_name,importance
f152,ppfd_in_lag_6h,162286.578125
f127,sw_in_lag_3h,35726.3046875
f250,f250,26384.724609375
f73,sw_in_mean_6h,24577.556640625
f258,f258,19526.828125
f215,timezone_offset,15759.49609375
f26,is_morning,13398.037109375
f240,temp_soil_interaction,10725.224609375
f128,sw_in_lag_6h,9292.5546875
f6,hour,7429.43798828125
f270,f270,7392.28759765625
f25,is_weekend,7364.580078125
f151,ppfd_in_lag_3h,7088.64404296875
f245,seasonal_precip_range,6345.75927734375
f259,f259,5754.19091796875
f253,f253,5683.7919921875
f266,f266,5557.28955078125
f9,year,5476.22119140625
f182,sw_in_cum_24h,5350.35595703125
f230,clay_percentage,5333.2119140625
f17,solar_hour,5237.06298828125
f232,silt_percentage,5215.34814453125
f248,f248,5078.29541015625
f210,biome_code,4887.44775390625
f237,vpd_ta_interaction,4741.01953125
f221,growth_condition_code,4615.57080078125
f241,wind_vpd_interaction,4525.95458984375
f74,sw_in_std_6h,4462.5234375
f249,f249,4357.12646484375
f67,vpd_mean_336h,4267.623046875
f222,pl_social_code,3932.9599609375
f224,tree_age_class_code,3923.8310546875
f247,f247,3918.57958984375
f2,ws,3620.19189453125
f4,sw_in,3343.352783203125
f236,vpd_ppfd_interaction,3279.149658203125
f21,solar_day_sin,3095.283447265625
f183,sw_in_cum_72h,2948.813232421875
f261,f261,2917.982666015625
f239,water_stress_index,2911.036376953125
f235,leaf_area_index,2664.84130859375
f234,tree_density,2628.410400390625
f160,sw_in_range_168h,2621.738525390625
f243,soil_depth,2597.838623046875
f246,f246,2574.724853515625
f34,hours_since_sunset,2564.796630859375
f252,f252,2545.4658203125
f23,is_daylight,2540.33740234375
f15,month_sin,2534.771240234375
f144,swc_shallow_lag_2h,2505.34326171875
f20,solar_hour_cos,2433.247802734375
f220,terrain_code,2341.101806640625
f122,vpd_lag_6h,2233.4990234375
f166,ta_range_72h,2096.530517578125
f251,f251,2075.61083984375
f165,ta_max_72h,2024.66259765625
f244,seasonal_temp_range,1949.7464599609375
f158,sw_in_min_168h,1912.8829345703125
f90,rh_std_3h,1879.27587890625
f5,ext_rad,1874.0126953125
f87,sw_in_mean_720h,1861.9066162109375
f163,sw_in_range_336h,1811.8148193359375
f24,is_peak_sunlight,1760.5380859375
f117,rh_lag_12h,1759.3380126953125
f38,ta_std_6h,1756.0699462890625
f31,is_autumn,1704.1651611328125
f162,sw_in_max_336h,1603.1788330078125
f33,hours_since_sunrise,1584.9949951171875
f190,longitude,1574.7591552734375
f11,hour_sin,1564.06640625
f242,humidity_soil_interaction,1518.27783203125
f271,f271,1513.87744140625
f223,tree_size_class_code,1434.6356201171875
f169,ta_range_168h,1417.5950927734375
f22,solar_day_cos,1403.246337890625
f16,month_cos,1390.310546875
f179,precip_cum_24h,1387.895263671875
f91,rh_mean_6h,1364.7242431640625
f148,swc_shallow_lag_24h,1362.3021240234375
f157,sw_in_range_72h,1321.407958984375
