feature_index,feature_name,importance
f29,is_afternoon,89794.7109375
f157,vpd_ppfd_interaction,56075.0625
f244,aridity_index,49728.91796875
f91,rh_mean_3h,37296.71484375
f2,vpd,23521.220703125
f151,ppfd_in_lag_1h,19054.12109375
f232,soil_depth,18491.578125
f228,basal_area,17321.56640625
f245,leaf_habit_code,17108.037109375
f258,pl_social_code,16541.962890625
f152,ppfd_in_lag_2h,13850.9931640625
f240,pl_sapw_area,13449.15625
f269,water_stress_index,11604.9130859375
f250,tree_volume_index,11492.7412109375
f6,precip,11390.8056640625
f226,is_inside_country,7460.12548828125
f224,mean_annual_temp,7439.748046875
f9,day_of_year,7313.9970703125
f28,is_morning,7198.42041015625
f227,stand_age,7007.0341796875
f144,precip_lag_24h,6608.3154296875
f158,vpd_ta_interaction,6393.09619140625
f220,stomatal_control_index,5887.04248046875
f31,is_spring,5850.73681640625
f34,is_winter,5264.85693359375
f3,sw_in,4960.61669921875
f225,mean_annual_precip,4880.12939453125
f22,solar_hour_cos,4585.39013671875
f149,swc_shallow_lag_12h,4583.50927734375
f262,pl_species_code,4452.84228515625
f7,ext_rad,4413.158203125
f236,pl_dbh,4408.03662109375
f165,rh_range_72h,4114.05615234375
f24,solar_day_cos,4102.30224609375
f25,is_daylight,3961.02099609375
f215,sw_in_cum_72h,3823.055908203125
f21,solar_hour_sin,3601.94921875
f221,latitude,3545.936767578125
f235,pl_age,3537.24755859375
f10,month,3510.54052734375
f122,vpd_lag_2h,3499.958740234375
f248,social_status_code,3414.916748046875
f23,solar_day_sin,3259.71533203125
f12,day_of_week,3030.913330078125
f17,month_sin,3024.538330078125
f184,vpd_min_168h,2968.597900390625
f18,month_cos,2897.09130859375
f78,sw_in_std_12h,2851.350830078125
f249,sapwood_leaf_ratio,2658.629150390625
f56,vpd_std_3h,2609.157958984375
f189,vpd_range_336h,2590.75244140625
f72,vpd_std_720h,2574.642333984375
f159,temp_humidity_ratio,2535.161376953125
f153,ppfd_in_lag_3h,2529.7685546875
f128,sw_in_lag_2h,2365.672607421875
f16,day_cos,2323.447265625
f233,n_trees,2290.40673828125
f229,tree_density,2251.022705078125
f247,igbp_code,2244.065185546875
f214,sw_in_cum_24h,2213.373046875
f15,day_sin,2180.5517578125
f202,sw_in_rate_1h,2161.470947265625
f264,seasonal_precip_range,2057.067626953125
