feature_index,feature_name,description,category,importance_score
f270,seasonal_temp_range,Seasonal temperature range,Temporal,612133.25
f264,clay_percentage,Clay Percentage,Soil,210660.125
f201,vpd_rate_24h,VPD rate of change 24h,Rate of Change,136247.8125
f259,tree_size_class_code,Tree Size Class Code,Structural,86932.3046875
f229,tree_density,Tree Density,Structural,53612.24609375
f234,measurement_timestep,Measurement Timestep,Metadata,47069.0546875
f40,ta_std_6h,Temperature 6h-hour standard deviation,Rolling,42367.234375
f267,water_stress_index,Water stress index,Interaction,38597.63671875
f254,igbp_class_code,Igbp Class Code,Ecological,35721.59765625
f173,sw_in_max_336h,Shortwave radiation 336h-hour maximum,Rolling,33417.03125
f258,pl_social_code,Pl Social Code,Structural,33284.86328125
f233,n_trees,N Trees,Other,31063.212890625
f23,solar_day_sin,Sine of solar day,Temporal,29936.634765625
f4,precip,Precipitation,Environmental,29125.578125
f226,is_inside_country,Is Inside Country,Temporal,22634.94140625
f206,precip_cum_72h,Cumulative precipitation 72h,Cumulative,21812.787109375
f231,leaf_area_index,Leaf Area Index,Interaction,21480.08984375
f255,soil_texture_code,Soil Texture Code,Soil,21135.080078125
f18,month_cos,Cosine of month (cyclical),Temporal,18304.06640625
f215,radiation_temp_interaction,Radiation × temperature interaction,Interaction,17138.736328125
f6,vpd,Vapor pressure deficit,Environmental,17106.283203125
f187,ta_min_168h,Temperature 168h-hour minimum,Rolling,16704.271484375
f263,swc_shallow,Soil water content (shallow),Environmental,14918.5205078125
f203,ta_rate_6h,Temperature rate of change 6h,Rate of Change,14302.3525390625
f42,ta_std_12h,Temperature 12h-hour standard deviation,Rolling,12560.205078125
f251,timezone_offset,Timezone Offset,Other,12235.32421875
f60,vpd_std_12h,VPD 12h-hour standard deviation,Rolling,11788.7587890625
f128,sw_in_lag_2h,Shortwave radiation lag 2h,Lagged,10715.7119140625
f44,ta_std_24h,Temperature 24h-hour standard deviation,Rolling,10276.7666015625
f236,pl_dbh,Pl Dbh,Structural,10162.5126953125
f75,sw_in_mean_6h,Shortwave radiation 6h-hour mean,Rolling,9885.458984375
f5,ppfd_in,Photosynthetic photon flux density,Environmental,9711.0849609375
f20,solar_day_of_year,Solar day of year,Temporal,9043.3525390625
f8,hour,Hour of day,Temporal,8747.4599609375
f205,precip_cum_24h,Cumulative precipitation 24h,Cumulative,8461.3037109375
f246,biome_code,Biome Code,Ecological,8080.02099609375
f22,solar_hour_cos,Cosine of solar hour,Temporal,7700.4150390625
f34,is_winter,Winter season indicator,Temporal,7609.8427734375
f29,is_afternoon,Afternoon indicator (12-18h),Temporal,7148.2763671875
f245,leaf_habit_code,Leaf Habit Code,Ecological,6975.73583984375
f76,sw_in_std_6h,Shortwave radiation 6h-hour standard deviation,Rolling,6839.2724609375
f265,sand_percentage,Sand Percentage,Soil,6813.6435546875
f65,vpd_mean_72h,VPD 72h-hour mean,Rolling,6628.06005859375
f261,species_functional_group_code,Species Functional Group Code,Ecological,6489.529296875
f56,vpd_std_3h,VPD 3h-hour standard deviation,Rolling,5910.822265625
f147,swc_shallow_lag_3h,Soil water content lag 3h,Lagged,5797.80810546875
f12,day_of_week,Day of week,Temporal,5767.7939453125
f158,rh_max_72h,Relative humidity 72h-hour maximum,Rolling,5665.283203125
f58,vpd_std_6h,VPD 6h-hour standard deviation,Rolling,5580.45166015625
f19,solar_hour,Solar hour,Temporal,5512.68408203125
f165,rh_range_336h,Relative humidity 336h-hour range,Rolling,5421.0068359375
f21,solar_hour_sin,Sine of solar hour,Temporal,4944.69384765625
f256,terrain_code,Terrain Code,Identity,4863.73974609375
f122,vpd_lag_2h,VPD lag 2h,Lagged,4859.826171875
f17,month_sin,Sine of month (cyclical),Temporal,4841.87646484375
f182,vpd_max_336h,VPD 336h-hour maximum,Rolling,4834.65478515625
f163,rh_min_336h,Relative humidity 336h-hour minimum,Rolling,4832.9453125
f74,sw_in_std_3h,Shortwave radiation 3h-hour standard deviation,Rolling,4772.23876953125
f214,wind_vpd_interaction,Wind × VPD interaction,Interaction,4713.98779296875
f37,ta_mean_3h,Temperature 3h-hour mean,Rolling,4666.345703125
f152,ppfd_in_lag_2h,PPFD lag 2h,Lagged,4526.6787109375
f266,silt_percentage,Silt Percentage,Soil,4520.13623046875
f47,ta_mean_72h,Temperature 72h-hour mean,Rolling,4503.2353515625
f145,swc_shallow_lag_1h,Soil water content lag 1h,Lagged,4502.76611328125
f78,sw_in_std_12h,Shortwave radiation 12h-hour standard deviation,Rolling,4325.3291015625
f250,tree_volume_index,Tree Volume Index,Interaction,4323.33251953125
f7,ext_rad,Extraterrestrial radiation,Environmental,4191.7080078125
f161,rh_max_168h,Relative humidity 168h-hour maximum,Rolling,4157.8916015625
f247,igbp_code,Igbp Code,Ecological,4139.5166015625
f67,vpd_mean_168h,VPD 168h-hour mean,Rolling,4121.29150390625
f100,rh_std_48h,Relative humidity 48h-hour standard deviation,Rolling,3858.40283203125
f244,aridity_index,Aridity Index,Interaction,3841.092529296875
f179,vpd_max_168h,VPD 168h-hour maximum,Rolling,3827.27685546875
f269,humidity_soil_interaction,Humidity × soil interaction,Interaction,3788.81640625
f220,stomatal_control_index,Stomatal control index,Interaction,3756.097900390625
f119,rh_lag_12h,Relative humidity lag 12h,Lagged,3699.952880859375
f142,precip_lag_6h,Precipitation lag 6h,Lagged,3652.003173828125
f218,stomatal_conductance_proxy,Stomatal conductance proxy,Other,3617.352783203125
f80,sw_in_std_24h,Shortwave radiation 24h-hour standard deviation,Rolling,3575.1513671875
f33,is_autumn,Autumn season indicator,Temporal,3478.03759765625
f39,ta_mean_6h,Temperature 6h-hour mean,Rolling,3443.37353515625
f170,sw_in_max_168h,Shortwave radiation 168h-hour maximum,Rolling,3441.255859375
f176,vpd_max_72h,VPD 72h-hour maximum,Rolling,3344.89794921875
f64,vpd_std_48h,VPD 48h-hour standard deviation,Rolling,3289.16943359375
f101,rh_mean_72h,Relative humidity 72h-hour mean,Rolling,3255.56298828125
f242,climate_zone_code,Climate Zone Code,Climate,3251.71337890625
f227,stand_age,Stand Age,Structural,3250.9404296875
f77,sw_in_mean_12h,Shortwave radiation 12h-hour mean,Rolling,3213.16650390625
f144,precip_lag_24h,Precipitation lag 24h,Lagged,3190.540283203125
f160,rh_min_168h,Relative humidity 168h-hour minimum,Rolling,3179.133056640625
f193,rh_rate_1h,Relative humidity rate of change 1h,Rate of Change,3174.51220703125
f209,sw_in_cum_72h,Cumulative shortwave radiation 72h,Cumulative,3173.235595703125
f63,vpd_mean_48h,VPD 48h-hour mean,Rolling,3135.959716796875
f184,ta_min_72h,Temperature 72h-hour minimum,Rolling,3089.710205078125
f157,rh_min_72h,Relative humidity 72h-hour minimum,Rolling,3085.19921875
f223,elevation,Elevation,Geographic,3068.24462890625
f153,ppfd_in_lag_3h,PPFD lag 3h,Lagged,3066.146484375
f178,vpd_min_168h,VPD 168h-hour minimum,Rolling,2988.5537109375
f30,is_night,Night indicator,Temporal,2957.745849609375
f200,vpd_rate_6h,VPD rate of change 6h,Rate of Change,2954.5849609375
f237,pl_height,Pl Height,Structural,2934.774658203125
f243,latitude_abs,Latitude Abs,Other,2846.963134765625
f11,year,Year,Temporal,2827.161376953125
f46,ta_std_48h,Temperature 48h-hour standard deviation,Rolling,2794.861572265625
f248,social_status_code,Social Status Code,Identity,2725.669921875
f14,hour_cos,Cosine of hour (cyclical),Temporal,2715.009033203125
f156,ppfd_in_lag_24h,PPFD lag 24h,Lagged,2689.533935546875
f197,sw_in_rate_6h,Shortwave radiation rate of change 6h,Rate of Change,2657.969970703125
f16,day_cos,Cosine of day of year (cyclical),Temporal,2650.62841796875
f241,pl_sapw_depth,Pl Sapw Depth,Structural,2615.721435546875
f192,ta_range_336h,Temperature 336h-hour range,Rolling,2580.379150390625
f120,rh_lag_24h,Relative humidity lag 24h,Lagged,2568.7607421875
f211,vpd_ta_interaction,VPD × Temperature interaction,Interaction,2533.361328125
f121,vpd_lag_1h,VPD lag 1h,Lagged,2515.697509765625
f253,koppen_geiger_code_encoded,Koppen Geiger Code Encoded,Climate,2515.2666015625
f177,vpd_range_72h,VPD 72h-hour range,Rolling,2473.78857421875
f57,vpd_mean_6h,VPD 6h-hour mean,Rolling,2449.829345703125
f24,solar_day_cos,Cosine of solar day,Temporal,2439.26953125
f212,temp_humidity_ratio,Temperature/humidity ratio,Interaction,2416.44677734375
f68,vpd_std_168h,VPD 168h-hour standard deviation,Rolling,2398.620361328125
f257,growth_condition_code,Growth Condition Code,Identity,2395.56298828125
f146,swc_shallow_lag_2h,Soil water content lag 2h,Lagged,2364.892578125
f13,hour_sin,Sine of hour (cyclical),Temporal,2332.15478515625
f168,sw_in_range_72h,Shortwave radiation 72h-hour range,Rolling,2322.394287109375
f45,ta_mean_48h,Temperature 48h-hour mean,Rolling,2317.7421875
f252,measurement_frequency,Measurement Frequency,Metadata,2234.590576171875
f10,month,Month,Temporal,2232.9052734375
f172,sw_in_min_336h,Shortwave radiation 336h-hour minimum,Rolling,2222.6142578125
f225,mean_annual_precip,Mean Annual Precip,Other,2211.168212890625
f130,sw_in_lag_6h,Shortwave radiation lag 6h,Lagged,2200.372314453125
f154,ppfd_in_lag_6h,PPFD lag 6h,Lagged,2181.142822265625
f183,vpd_range_336h,VPD 336h-hour range,Rolling,2144.630859375
f235,pl_age,Pl Age,Structural,2135.783203125
f82,sw_in_std_48h,Shortwave radiation 48h-hour standard deviation,Rolling,2123.96435546875
f83,sw_in_mean_72h,Shortwave radiation 72h-hour mean,Rolling,2117.74755859375
f224,mean_annual_temp,Mean Annual Temp,Other,2093.241943359375
f2,sw_in,Shortwave incoming radiation,Environmental,2067.4716796875
f69,vpd_mean_336h,VPD 336h-hour mean,Rolling,2047.17822265625
f62,vpd_std_24h,VPD 24h-hour standard deviation,Rolling,2040.00048828125
f141,precip_lag_3h,Precipitation lag 3h,Lagged,2024.9085693359375
f194,rh_rate_6h,Relative humidity rate of change 6h,Rate of Change,2019.35986328125
f103,rh_mean_168h,Relative humidity 168h-hour mean,Rolling,2017.0078125
f181,vpd_min_336h,VPD 336h-hour minimum,Rolling,1960.4271240234375
f169,sw_in_min_168h,Shortwave radiation 168h-hour minimum,Rolling,1947.4539794921875
f149,swc_shallow_lag_12h,Soil water content lag 12h,Lagged,1915.9837646484375
f228,basal_area,Basal Area,Structural,1912.6396484375
f222,longitude,Longitude,Geographic,1912.5794677734375
f140,precip_lag_2h,Precipitation lag 2h,Lagged,1911.0736083984375
f28,is_morning,Morning indicator (6-12h),Temporal,1875.851318359375
f151,ppfd_in_lag_1h,PPFD lag 1h,Lagged,1853.03125
f134,ws_lag_2h,Wind speed lag 2h,Lagged,1848.991943359375
f271,seasonal_precip_range,Seasonal precipitation range,Temporal,1834.9095458984375
f240,pl_sapw_area,Pl Sapw Area,Structural,1806.880615234375
f49,ta_mean_168h,Temperature 168h-hour mean,Rolling,1767.8145751953125
f111,ta_lag_3h,Temperature lag 3h,Lagged,1759.6800537109375
f109,ta_lag_1h,Temperature lag 1h,Lagged,1749.9566650390625
f150,swc_shallow_lag_24h,Soil water content lag 24h,Lagged,1697.961669921875
f98,rh_std_24h,Relative humidity 24h-hour standard deviation,Rolling,1680.589599609375
f59,vpd_mean_12h,VPD 12h-hour mean,Rolling,1657.51904296875
f159,rh_range_72h,Relative humidity 72h-hour range,Rolling,1641.171875
f162,rh_range_168h,Relative humidity 168h-hour range,Rolling,1632.8800048828125
f180,vpd_range_168h,VPD 168h-hour range,Rolling,1627.9376220703125
f132,sw_in_lag_24h,Shortwave radiation lag 24h,Lagged,1614.302734375
f73,sw_in_mean_3h,Shortwave radiation 3h-hour mean,Rolling,1608.018798828125
f217,temp_deviation,Temperature deviation from optimal (25°C),Domain,1598.64990234375
f51,ta_mean_336h,Temperature 336h-hour mean,Rolling,1598.1014404296875
f26,is_peak_sunlight,Peak sunlight indicator (10-16h),Temporal,1596.2919921875
f195,rh_rate_24h,Relative humidity rate of change 24h,Rate of Change,1578.390869140625
f186,ta_range_72h,Temperature 72h-hour range,Rolling,1573.1318359375
f112,ta_lag_6h,Temperature lag 6h,Lagged,1564.9296875
f15,day_sin,Sine of day of year (cyclical),Temporal,1560.416259765625
f213,light_efficiency,Light efficiency,Other,1557.0810546875
f262,pl_species_code,Pl Species Code,Ecological,1556.4832763671875
f221,latitude,Latitude,Geographic,1527.0643310546875
f70,vpd_std_336h,VPD 336h-hour standard deviation,Rolling,1526.9632568359375
f1,rh,Relative humidity,Environmental,1525.567626953125
f99,rh_mean_48h,Relative humidity 48h-hour mean,Rolling,1492.337158203125
f106,rh_std_336h,Relative humidity 336h-hour standard deviation,Rolling,1475.325439453125
f61,vpd_mean_24h,VPD 24h-hour mean,Rolling,1455.4791259765625
f155,ppfd_in_lag_12h,PPFD lag 12h,Lagged,1453.277099609375
f48,ta_std_72h,Temperature 72h-hour standard deviation,Rolling,1435.98681640625
f94,rh_std_6h,Relative humidity 6h-hour standard deviation,Rolling,1432.69775390625
f55,vpd_mean_3h,VPD 3h-hour mean,Rolling,1417.3857421875
f25,is_daylight,Daylight indicator (6-18h),Temporal,1395.8067626953125
f260,tree_age_class_code,Tree Age Class Code,Structural,1392.1502685546875
f9,day_of_year,Day of year,Temporal,1385.809814453125
f148,swc_shallow_lag_6h,Soil water content lag 6h,Lagged,1379.2117919921875
f43,ta_mean_24h,Temperature 24h-hour mean,Rolling,1378.6573486328125
f171,sw_in_range_168h,Shortwave radiation 168h-hour range,Rolling,1377.4769287109375
f66,vpd_std_72h,VPD 72h-hour standard deviation,Rolling,1362.0230712890625
f133,ws_lag_1h,Wind speed lag 1h,Lagged,1351.000244140625
f219,wind_stress,Wind stress,Other,1341.459228515625
f35,hours_since_sunrise,Hours since sunrise,Temporal,1340.6932373046875
f131,sw_in_lag_12h,Shortwave radiation lag 12h,Lagged,1319.8255615234375
f91,rh_mean_3h,Relative humidity 3h-hour mean,Rolling,1307.091064453125
f190,ta_min_336h,Temperature 336h-hour minimum,Rolling,1289.6158447265625
f52,ta_std_336h,Temperature 336h-hour standard deviation,Rolling,1279.5404052734375
f207,precip_cum_168h,Cumulative precipitation 168h,Cumulative,1277.6402587890625
f110,ta_lag_2h,Temperature lag 2h,Lagged,1270.45849609375
f89,sw_in_mean_720h,Shortwave radiation 720h-hour mean,Rolling,1249.16015625
f135,ws_lag_3h,Wind speed lag 3h,Lagged,1247.662353515625
f198,sw_in_rate_24h,Shortwave radiation rate of change 24h,Rate of Change,1237.798095703125
f96,rh_std_12h,Relative humidity 12h-hour standard deviation,Rolling,1210.030517578125
f0,ta,Air temperature,Environmental,1205.7132568359375
f92,rh_std_3h,Relative humidity 3h-hour standard deviation,Rolling,1191.8751220703125
f175,vpd_min_72h,VPD 72h-hour minimum,Rolling,1184.919677734375
f108,rh_std_720h,Relative humidity 720h-hour standard deviation,Rolling,1182.8707275390625
f53,ta_mean_720h,Temperature 720h-hour mean,Rolling,1179.441162109375
f191,ta_max_336h,Temperature 336h-hour maximum,Rolling,1162.1484375
f199,vpd_rate_1h,VPD rate of change 1h,Rate of Change,1160.3997802734375
f50,ta_std_168h,Temperature 168h-hour standard deviation,Rolling,1153.2362060546875
f136,ws_lag_6h,Wind speed lag 6h,Lagged,1082.57568359375
f54,ta_std_720h,Temperature 720h-hour standard deviation,Rolling,1072.4500732421875
f143,precip_lag_12h,Precipitation lag 12h,Lagged,1065.8497314453125
f166,sw_in_min_72h,Shortwave radiation 72h-hour minimum,Rolling,1047.8101806640625
f116,rh_lag_2h,Relative humidity lag 2h,Lagged,1028.76806640625
f41,ta_mean_12h,Temperature 12h-hour mean,Rolling,1016.6962280273438
f36,hours_since_sunset,Hours since sunset,Temporal,987.0462036132812
f216,ppfd_efficiency,PPFD efficiency,Other,983.5797119140625
f102,rh_std_72h,Relative humidity 72h-hour standard deviation,Rolling,965.1634521484375
f72,vpd_std_720h,VPD 720h-hour standard deviation,Rolling,958.419921875
f189,ta_range_168h,Temperature 168h-hour range,Rolling,952.842041015625
f3,ws,Wind speed,Environmental,941.8594970703125
f114,ta_lag_24h,Temperature lag 24h,Lagged,887.739501953125
f185,ta_max_72h,Temperature 72h-hour maximum,Rolling,869.609130859375
f118,rh_lag_6h,Relative humidity lag 6h,Lagged,850.9161987304688
f123,vpd_lag_3h,VPD lag 3h,Lagged,839.544921875
f90,sw_in_std_720h,Shortwave radiation 720h-hour standard deviation,Rolling,832.5025634765625
f167,sw_in_max_72h,Shortwave radiation 72h-hour maximum,Rolling,831.4686889648438
f117,rh_lag_3h,Relative humidity lag 3h,Lagged,822.7132568359375
f95,rh_mean_12h,Relative humidity 12h-hour mean,Rolling,821.9869995117188
f210,vpd_ppfd_interaction,VPD × PPFD interaction,Interaction,814.54345703125
f107,rh_mean_720h,Relative humidity 720h-hour mean,Rolling,813.0466918945312
f27,is_weekend,Weekend indicator,Temporal,803.6101684570312
f196,sw_in_rate_1h,Shortwave radiation rate of change 1h,Rate of Change,782.9613647460938
f124,vpd_lag_6h,VPD lag 6h,Lagged,762.3101196289062
f32,is_summer,Summer season indicator,Temporal,755.9608154296875
f164,rh_max_336h,Relative humidity 336h-hour maximum,Rolling,703.3003540039062
f188,ta_max_168h,Temperature 168h-hour maximum,Rolling,688.121826171875
f232,soil_depth,Soil Depth,Soil,679.7262573242188
f97,rh_mean_24h,Relative humidity 24h-hour mean,Rolling,677.2966918945312
f85,sw_in_mean_168h,Shortwave radiation 168h-hour mean,Rolling,648.5989990234375
f105,rh_mean_336h,Relative humidity 336h-hour mean,Rolling,639.4719848632812
