site,pl_species_code,ppfd_efficiency,precip_cum_168h,precip_cum_24h,precip_cum_72h,rh_max_168h,rh_max_336h,rh_max_72h,rh_min_168h,rh_min_336h,rh_min_72h,rh_range_168h,rh_range_336h,rh_range_72h,rh_rate_1h,rh_rate_24h,rh_rate_6h,seasonal_precip_range,seasonal_temp_range,soil_texture_code,stomatal_conductance_proxy,stomatal_control_index,sw_in_cum_24h,sw_in_cum_72h,sw_in_max_168h,sw_in_max_336h,sw_in_max_72h,sw_in_min_168h,sw_in_min_336h,sw_in_min_72h,sw_in_range_168h,sw_in_range_336h,sw_in_range_72h,sw_in_rate_1h,sw_in_rate_24h,sw_in_rate_6h,terrain_code,vpd_max_168h,vpd_max_336h,vpd_max_72h,vpd_min_168h,vpd_min_336h,vpd_min_72h,vpd_range_168h,vpd_range_336h,vpd_range_72h,vpd_rate_1h,vpd_rate_24h,vpd_rate_6h,wind_stress
AUS_BRI_BRI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS_CAN_ST1_EUC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS_CAN_ST3_ACA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS_CAR_THI_00F,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS_CAR_THI_0PF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS_CAR_THI_CON,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS_CAR_THI_T00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS_CAR_THI_T0F,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS_ELL_MB_MOD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUS_ELL_UNB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
