feature,present_in_sites,missing_from_sites,coverage_percent,missing_sites
stomatal_conductance_proxy,71,15,82.6,AUS_KAR; AUT_PAT_FOR; AUT_PAT_KRU; AUT_PAT_TRE; AUT_TSC; CHE_PFY_CON; CHE_PFY_IRR; ESP_RON_PIL; ESP_VAL_BAR; ESP_YUN_C1...
wind_stress,71,15,82.6,BRA_CAM; BRA_SAN; ESP_RON_PIL; ESP_YUN_C1; ESP_YUN_C2; ESP_YUN_T1_THI; ESP_YUN_T3_THI; GBR_ABE_PLO; HUN_SIK; MDG_SEM_TAL...
stomatal_control_index,71,15,82.6,AUS_KAR; AUT_PAT_FOR; AUT_PAT_KRU; AUT_PAT_TRE; AUT_TSC; CHE_PFY_CON; CHE_PFY_IRR; ESP_RON_PIL; ESP_VAL_BAR; ESP_YUN_C1...
sw_in_max_336h,72,14,83.7,AUT_PAT_FOR; AUT_PAT_KRU; AUT_PAT_TRE; AUT_TSC; CHE_PFY_CON; CHE_PFY_IRR; ESP_RON_PIL; ESP_VAL_BAR; ESP_YUN_C1; ESP_YUN_C2...
sw_in_range_168h,72,14,83.7,AUT_PAT_FOR; AUT_PAT_KRU; AUT_PAT_TRE; AUT_TSC; CHE_PFY_CON; CHE_PFY_IRR; ESP_RON_PIL; ESP_VAL_BAR; ESP_YUN_C1; ESP_YUN_C2...
sw_in_range_336h,72,14,83.7,AUT_PAT_FOR; AUT_PAT_KRU; AUT_PAT_TRE; AUT_TSC; CHE_PFY_CON; CHE_PFY_IRR; ESP_RON_PIL; ESP_VAL_BAR; ESP_YUN_C1; ESP_YUN_C2...
sw_in_max_72h,72,14,83.7,AUT_PAT_FOR; AUT_PAT_KRU; AUT_PAT_TRE; AUT_TSC; CHE_PFY_CON; CHE_PFY_IRR; ESP_RON_PIL; ESP_VAL_BAR; ESP_YUN_C1; ESP_YUN_C2...
sw_in_min_168h,72,14,83.7,AUT_PAT_FOR; AUT_PAT_KRU; AUT_PAT_TRE; AUT_TSC; CHE_PFY_CON; CHE_PFY_IRR; ESP_RON_PIL; ESP_VAL_BAR; ESP_YUN_C1; ESP_YUN_C2...
sw_in_min_336h,72,14,83.7,AUT_PAT_FOR; AUT_PAT_KRU; AUT_PAT_TRE; AUT_TSC; CHE_PFY_CON; CHE_PFY_IRR; ESP_RON_PIL; ESP_VAL_BAR; ESP_YUN_C1; ESP_YUN_C2...
sw_in_cum_24h,72,14,83.7,AUT_PAT_FOR; AUT_PAT_KRU; AUT_PAT_TRE; AUT_TSC; CHE_PFY_CON; CHE_PFY_IRR; ESP_RON_PIL; ESP_VAL_BAR; ESP_YUN_C1; ESP_YUN_C2...
