feature_index,feature_name,column_index
0,ta,0
1,vpd,1
2,sw_in,2
3,ws,3
4,precip,4
5,ppfd_in,5
6,rh,6
7,ext_rad,7
8,ppfd_efficiency,8
9,vpd_ppfd_interaction,9
10,vpd_ta_interaction,10
11,temp_humidity_ratio,11
12,water_stress_index,12
13,light_efficiency,13
14,temp_soil_interaction,14
15,latitude,15
16,longitude,16
17,elevation,17
18,mean_annual_temp,18
19,mean_annual_precip,19
20,stand_age,20
21,basal_area,21
22,tree_density,22
23,stand_height,23
24,leaf_area_index,24
25,soil_depth,25
26,n_trees,26
27,wind_vpd_interaction,27
28,radiation_temp_interaction,28
29,humidity_soil_interaction,29
30,temp_deviation,30
31,stomatal_conductance_proxy,31
32,wind_stress,32
33,stomatal_control_index,33
34,tree_size_factor,34
35,sapwood_leaf_ratio,35
36,transpiration_capacity,36
37,pl_age,37
38,pl_dbh,38
39,pl_height,39
40,pl_leaf_area,40
41,pl_bark_thick,41
42,pl_sapw_area,42
43,pl_sapw_depth,43
44,latitude_abs,44
45,aridity_index,45
46,leaf_habit_code,46
47,biome_code,47
48,igbp_code,48
49,social_status_code,49
50,tree_volume_index,50
51,seasonal_temp_range,51
52,seasonal_precip_range,52
53,koppen_geiger_code_encoded,53
54,igbp_class_code,54
55,soil_texture_code,55
56,terrain_code,56
57,growth_condition_code,57
58,pl_social_code,58
59,tree_size_class_code,59
60,tree_age_class_code,60
61,species_functional_group_code,61
62,swc_shallow,62
63,clay_percentage,63
64,sand_percentage,64
65,silt_percentage,65
