feature_index,feature_name,column_index
f0,ta,0
f1,rh,1
f2,sw_in,2
f3,ws,3
f4,precip,4
f5,ppfd_in,5
f6,vpd,6
f7,ext_rad,7
f8,hour,8
f9,day_of_year,9
f10,month,10
f11,year,11
f12,day_of_week,12
f13,hour_sin,13
f14,hour_cos,14
f15,day_sin,15
f16,day_cos,16
f17,month_sin,17
f18,month_cos,18
f19,solar_hour,19
f20,solar_day_of_year,20
f21,solar_hour_sin,21
f22,solar_hour_cos,22
f23,solar_day_sin,23
f24,solar_day_cos,24
f25,is_daylight,25
f26,is_peak_sunlight,26
f27,is_weekend,27
f28,is_morning,28
f29,is_afternoon,29
f30,is_night,30
f31,is_spring,31
f32,is_summer,32
f33,is_autumn,33
f34,is_winter,34
f35,hours_since_sunrise,35
f36,hours_since_sunset,36
f37,ta_mean_3h,37
f38,ta_std_3h,38
f39,ta_mean_6h,39
f40,ta_std_6h,40
f41,ta_mean_12h,41
f42,ta_std_12h,42
f43,ta_mean_24h,43
f44,ta_std_24h,44
f45,ta_mean_48h,45
f46,ta_std_48h,46
f47,ta_mean_72h,47
f48,ta_std_72h,48
f49,ta_mean_168h,49
f50,ta_std_168h,50
f51,ta_mean_336h,51
f52,ta_std_336h,52
f53,ta_mean_720h,53
f54,ta_std_720h,54
f55,vpd_mean_3h,55
f56,vpd_std_3h,56
f57,vpd_mean_6h,57
f58,vpd_std_6h,58
f59,vpd_mean_12h,59
f60,vpd_std_12h,60
f61,vpd_mean_24h,61
f62,vpd_std_24h,62
f63,vpd_mean_48h,63
f64,vpd_std_48h,64
f65,vpd_mean_72h,65
f66,vpd_std_72h,66
f67,vpd_mean_168h,67
f68,vpd_std_168h,68
f69,vpd_mean_336h,69
f70,vpd_std_336h,70
f71,vpd_mean_720h,71
f72,vpd_std_720h,72
f73,sw_in_mean_3h,73
f74,sw_in_std_3h,74
f75,sw_in_mean_6h,75
f76,sw_in_std_6h,76
f77,sw_in_mean_12h,77
f78,sw_in_std_12h,78
f79,sw_in_mean_24h,79
f80,sw_in_std_24h,80
f81,sw_in_mean_48h,81
f82,sw_in_std_48h,82
f83,sw_in_mean_72h,83
f84,sw_in_std_72h,84
f85,sw_in_mean_168h,85
f86,sw_in_std_168h,86
f87,sw_in_mean_336h,87
f88,sw_in_std_336h,88
f89,sw_in_mean_720h,89
f90,sw_in_std_720h,90
f91,rh_mean_3h,91
f92,rh_std_3h,92
f93,rh_mean_6h,93
f94,rh_std_6h,94
f95,rh_mean_12h,95
f96,rh_std_12h,96
f97,rh_mean_24h,97
f98,rh_std_24h,98
f99,rh_mean_48h,99
f100,rh_std_48h,100
f101,rh_mean_72h,101
f102,rh_std_72h,102
f103,rh_mean_168h,103
f104,rh_std_168h,104
f105,rh_mean_336h,105
f106,rh_std_336h,106
f107,rh_mean_720h,107
f108,rh_std_720h,108
f109,ta_lag_1h,109
f110,ta_lag_2h,110
f111,ta_lag_3h,111
f112,ta_lag_6h,112
f113,ta_lag_12h,113
f114,ta_lag_24h,114
f115,rh_lag_1h,115
f116,rh_lag_2h,116
f117,rh_lag_3h,117
f118,rh_lag_6h,118
f119,rh_lag_12h,119
f120,rh_lag_24h,120
f121,vpd_lag_1h,121
f122,vpd_lag_2h,122
f123,vpd_lag_3h,123
f124,vpd_lag_6h,124
f125,vpd_lag_12h,125
f126,vpd_lag_24h,126
f127,sw_in_lag_1h,127
f128,sw_in_lag_2h,128
f129,sw_in_lag_3h,129
f130,sw_in_lag_6h,130
f131,sw_in_lag_12h,131
f132,sw_in_lag_24h,132
f133,ws_lag_1h,133
f134,ws_lag_2h,134
