site,lat,lon,cluster
AUS_BRI_BRI,-37.870556,145.84972,2
AUS_CAN_ST1_EUC,-37.58,149.17,2
AUS_CAN_ST3_ACA,-37.58,149.17,2
AUS_CAR_THI_00F,-38.383,146.683,2
AUS_CAR_THI_0PF,-38.383,146.683,2
AUS_CAR_THI_CON,-38.383,146.683,2
AUS_CAR_THI_T00,-38.383,146.683,2
AUS_CAR_THI_T0F,-38.383,146.683,2
AUS_ELL_MB_MOD,-36.785,146.582,2
AUS_ELL_UNB,-36.785,146.581,2
AUS_KAR,-22.623701,118.218654,3
AUS_MAR_HSD_HIG,-37.643,145.581,2
AUS_MAR_HSW_HIG,-37.647,145.574,2
AUS_MAR_MSD_MOD,-37.642,145.584,2
AUS_MAR_MSW_MOD,-37.649,145.572,2
AUS_MAR_UBD,-37.691,145.565,2
AUS_MAR_UBW,-37.888,145.572,2
AUS_WOM,-37.4222,144.0944,2
AUT_PAT_FOR,47.21027778,11.45194444,0
AUT_PAT_KRU,47.21027778,11.45194444,0
AUT_PAT_TRE,47.21027778,11.45194444,0
AUT_TSC,47.23333333333333,10.83888888888889,1
BRA_CAM,-22.69,-45.52,4
BRA_SAN,-23.2833333333333,-45.1833333333333,4
CAN_TUR_P39_PRE,42.7097777778,-80.3574,0
CHE_DAV_SEE,46.81668,9.856198,0
CHE_PFY_CON,46.3,7.6,1
CHE_PFY_IRR,46.3,7.6,1
CHN_ARG_GWD,40.75416667,89.98555556,0
CHN_ARG_GWS,41.38166667,89.93833333,0
CHN_HOR_AFF,42.71666666666667,122.36666666666666,1
CHN_YIN_ST1,42.45444444,85.71666667,0
CHN_YIN_ST2_DRO,42.11444444,85.13111111,0
CHN_YIN_ST3_DRO,42.28833333,85.98833333,0
CHN_YUN_YUN,23.92071944,117.4180278,2
CRI_TAM_TOW,10.386944444444444,-84.62583333333333,4
CZE_LIZ_LES,49.06668,13.67975,0
ESP_MAJ_MAI,39.9415,-5.773361111,3
ESP_MAJ_NOR_LM1,39.9415,-5.773361111,3
ESP_RIN,40.60027777777778,-6.016666666666667,1
ESP_RON_PIL,36.692881,-5.019568,0
ESP_SAN_A2_45I,37.249105,-5.797067,3
ESP_SAN_A_45I,37.249105,-5.797067,3
ESP_SAN_B2_100,37.249105,-5.797067,3
ESP_SAN_B_100,37.249105,-5.797067,3
ESP_VAL_BAR,42.2029333333333,1.82048611111111,1
ESP_VAL_SOR,42.19605278,1.8135611,1
ESP_YUN_C1,36.724558,-4.968905,1
ESP_YUN_C2,36.724455,-4.965737,1
ESP_YUN_T1_THI,36.724232,-4.967474,1
ESP_YUN_T3_THI,36.723949,-4.967004,1
FRA_HES_HE1_NON,48.6742,7.0647,0
GBR_ABE_PLO,56.616,-3.8,0
GBR_GUI_ST1,57.266667,-4.816667,0
HUN_SIK,47.927288,20.444408,1
IDN_JAM_OIL,-2.0708889,102.7918333,4
IDN_JAM_RUB,-2.095278,102.783222,4
ITA_TOR,45.82376,7.56089,0
MDG_SEM_TAL,-18.93167,48.71167,4
MDG_YOU_SHO,-18.94722,48.39527,4
MEX_COR_YP,19.4931,-97.0422,4
NLD_LOO,52.16648333333333,5.7435527777777775,1
NLD_SPE_DOU,52.25111111111111,5.690277777777778,1
NZL_HUA_HUA,-36.7958,174.4903,2
PRT_MIT,38.5405555555556,-8.0002777777777,3
PRT_PIN,38.250188,-8.757717,3
RUS_CHE_LOW,68.73785,161.5045,1
SEN_SOU_IRR,16.344,-15.428,3
SEN_SOU_POS,16.344,-15.428,3
SEN_SOU_PRE,16.344,-15.428,3
THA_KHU,15.273,103.081,3
USA_CHE_ASP,45.937,-90.267,0
USA_CHE_MAP,45.948,-90.26,0
USA_HIL_HF1_PRE,36.2173212,-78.864178648,4
USA_INM,39.323228,-86.413239,4
USA_MOR_SF,39.323011,-86.413321,4
USA_PER_PER,30.20611,-83.87,4
USA_SWH,34.108889,-91.125278,4
USA_TNB,36.471197,-84.704072,4
USA_TNO,35.966,-84.281866,4
ZAF_FRA_FRA,-33.884334,19.060978,1
ZAF_RAD,-34.08,19.108,1
ZAF_SOU_SOU,-34.087,19.0933,1
ZAF_WEL_SOR,-33.48173889,18.95601667,4
