site,category,temporal_coverage_days,has_env_data,has_sapf_data,has_valid_sapf_data,sapf_columns_count,exclude_reason,data_quality_issues
ARG_MAZ,insufficient_temporal,0.0,True,True,True,5,Insufficient temporal coverage (0.0 days < 30 days minimum),Could not calculate temporal coverage: Environmental file too small; Error counting records: 'SAPFLUXLogger' object has no attribute 'debug'
ARG_TRE,insufficient_temporal,0.0,True,True,True,4,Insufficient temporal coverage (0.0 days < 30 days minimum),Could not calculate temporal coverage: Environmental file too small; Error counting records: 'SAPFLUXLogger' object has no attribute 'debug'
AUS_BRI_BRI,moderate_temporal,34.416666666666664,True,True,True,5,,Error counting records: 'SAPFLUXLogger' object has no attribute 'debug'
AUS_CAN_ST1_EUC,adequate_temporal,370.875,True,True,True,2,,
AUS_CAN_ST2_MIX,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
AUS_CAN_ST3_ACA,adequate_temporal,370.8333333333333,True,True,True,2,,
AUS_CAR_THI_00F,adequate_temporal,377.9375,True,True,True,2,,
AUS_CAR_THI_0P0,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
AUS_CAR_THI_0PF,adequate_temporal,377.9375,True,True,True,2,,
AUS_CAR_THI_CON,adequate_temporal,377.9375,True,True,True,2,,
AUS_CAR_THI_T00,adequate_temporal,377.9375,True,True,True,2,,
AUS_CAR_THI_T0F,adequate_temporal,377.9375,True,True,True,2,,
AUS_CAR_THI_TP0,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
AUS_CAR_THI_TPF,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
AUS_ELL_HB_HIG,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
AUS_ELL_MB_MOD,adequate_temporal,991.9791550925926,True,True,True,2,,
AUS_ELL_UNB,adequate_temporal,991.9791550925926,True,True,True,1,,
AUS_KAR,adequate_temporal,161.95833333333334,True,True,True,14,,
AUS_MAR_HSD_HIG,adequate_temporal,730.9791666666666,True,True,True,3,,
AUS_MAR_HSW_HIG,adequate_temporal,730.9790509259259,True,True,True,2,,
AUS_MAR_MSD_MOD,adequate_temporal,730.9791666666666,True,True,True,3,,
AUS_MAR_MSW_MOD,adequate_temporal,730.9791666666666,True,True,True,3,,
AUS_MAR_UBD,adequate_temporal,730.9791550925926,True,True,True,2,,
AUS_MAR_UBW,adequate_temporal,730.9791550925926,True,True,True,3,,
AUS_RIC_EUC_ELE,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
AUS_WOM,adequate_temporal,1034.5625,True,True,True,11,,
AUT_PAT_FOR,adequate_temporal,178.45833333333334,True,True,True,3,,
AUT_PAT_KRU,adequate_temporal,171.3541550925926,True,True,True,3,,
AUT_PAT_TRE,adequate_temporal,157.0,True,True,True,3,,
AUT_TSC,adequate_temporal,219.60416666666666,True,True,True,6,,
BRA_CAM,adequate_temporal,259.5208333333333,True,True,True,5,,
BRA_SAN,adequate_temporal,451.8125,True,True,True,13,,
CAN_TUR_P39_POS,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
CAN_TUR_P39_PRE,adequate_temporal,2922.0,True,True,True,21,,
CAN_TUR_P74,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
CHE_DAV_SEE,adequate_temporal,364.99305555555554,True,True,True,5,,
CHE_LOT_NOR,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
CHE_PFY_CON,adequate_temporal,573.3541666666666,True,True,True,5,,
CHE_PFY_IRR,adequate_temporal,573.3541666666666,True,True,True,4,,
CHN_ARG_GWD,adequate_temporal,152.99305555555554,True,True,True,2,,
CHN_ARG_GWS,adequate_temporal,152.99305555555554,True,True,True,2,,
CHN_HOR_AFF,adequate_temporal,207.9586111111111,True,True,True,16,,
CHN_YIN_ST1,adequate_temporal,92.99305555555556,True,True,True,5,,
CHN_YIN_ST2_DRO,adequate_temporal,92.99305555555556,True,True,True,2,,
CHN_YIN_ST3_DRO,adequate_temporal,92.99305555555556,True,True,True,3,,
CHN_YUN_YUN,adequate_temporal,366.0,True,True,True,8,,
COL_MAC_SAF_RAD,insufficient_temporal,0.0,True,True,True,3,Insufficient temporal coverage (0.0 days < 30 days minimum),Could not calculate temporal coverage: Environmental file too small; Error counting records: 'SAPFLUXLogger' object has no attribute 'debug'
CRI_TAM_TOW,adequate_temporal,577.9583333333334,True,True,True,26,,
CZE_LIZ_LES,adequate_temporal,848.9931018518519,True,True,True,6,,
DEU_HIN_OAK,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
DEU_HIN_TER,invalid_sapf_data,0.0,True,True,False,0,No valid sap flow columns found,
