site,start_date,end_date,duration_days,total_records
SEN_SOU_PRE,1996-03-01,1998-07-31,882,16763
FRA_HES_HE1_NON,1997-04-15,1999-11-01,930,50265
USA_TNP,1998-02-28,2000-01-01,671,55414
USA_TNO,1998-03-31,1999-11-28,606,76955
USA_INM,1998-04-08,1999-11-11,582,64118
USA_WVF,1998-04-24,1999-11-11,565,45433
USA_TNY,1998-05-15,1999-11-21,554,61045
USA_TNB,1998-05-28,1999-11-30,550,24998
SEN_SOU_IRR,1998-08-01,1998-09-30,60,895
SEN_SOU_POS,1998-10-01,2000-01-25,481,3144
FRA_PUE,1999-12-31,2012-01-05,4387,237644
PRT_MIT,2001-01-01,2004-01-01,1094,72428
GBR_ABE_PLO,2001-04-18,2001-08-23,126,32994
GBR_GUI_ST1,2003-05-05,2003-10-16,164,75073
ESP_VAL_BAR,2003-05-16,2005-08-31,838,62968
ESP_VAL_SOR,2003-06-03,2005-08-31,820,136283
USA_CHE_ASP,2004-07-27,2005-07-08,346,72105
USA_CHE_MAP,2005-07-21,2005-08-20,30,75637
AUS_CAN_ST3_ACA,2006-06-20,2006-08-08,49,2458
AUS_CAN_ST1_EUC,2006-06-21,2006-08-08,48,2388
THA_KHU,2006-12-14,2008-04-23,495,73921
AUT_PAT_FOR,2007-04-20,2007-10-16,178,16083
AUT_PAT_TRE,2007-04-21,2007-08-20,120,12834
AUT_PAT_KRU,2007-04-21,2007-10-10,171,15172
ESP_RIN,2007-05-31,2007-09-11,102,15408
CZE_LIZ_LES,2007-06-20,2009-10-16,848,507503
PRT_PIN,2007-09-30,2008-07-31,304,298416
IDN_PON_STE,2007-12-31,2008-12-31,365,273858
AUS_KAR,2008-04-22,2008-10-01,161,30506
ZAF_NOO_E3_IRR,2008-05-15,2010-07-25,801,75354
BRA_SAN,2008-06-28,2009-09-23,451,39399
AUS_CAR_THI_00F,2008-09-08,2008-12-10,93,8022
AUS_CAR_THI_CON,2008-09-09,2008-12-09,91,8429
AUS_CAR_THI_0PF,2008-09-09,2008-12-09,90,8228
AUS_CAR_THI_T0F,2008-09-10,2008-12-10,90,7691
AUS_CAR_THI_T00,2008-09-10,2008-12-09,90,7370
MEX_COR_YP,2008-11-18,2010-05-12,539,7636
CAN_TUR_P39_PRE,2009-01-01,2011-11-21,1054,375458
AUS_ELL_UNB,2009-06-02,2012-02-19,991,19534
AUS_ELL_MB_MOD,2009-06-02,2012-01-16,958,39761
ESP_YUN_C1,2009-06-20,2014-11-14,1972,150167
ESP_YUN_T3_THI,2009-06-21,2014-11-23,1980,281259
AUS_BRI_BRI,2009-09-09,2009-10-13,34,5935
ARG_TRE,2009-11-18,2009-12-01,12,1100
ARG_MAZ,2009-11-19,2009-12-01,11,1310
CHE_DAV_SEE,2009-12-31,2010-12-31,364,233504
AUS_MAR_UBW,2010-02-28,2012-02-29,730,27256
AUS_MAR_UBD,2010-02-28,2012-02-29,730,15196
AUS_MAR_MSW_MOD,2010-02-28,2012-02-29,730,48978
AUS_MAR_MSD_MOD,2010-02-28,2012-02-29,730,61524
AUS_MAR_HSW_HIG,2010-02-28,2012-02-29,730,42348
AUS_MAR_HSD_HIG,2010-02-28,2012-02-29,730,62391
ESP_YUN_T1_THI,2010-04-23,2014-11-29,1681,117720
ESP_TIL_MIX,2010-04-30,2013-10-03,1252,1816845
USA_HIL_HF1_PRE,2010-06-17,2011-02-01,228,382616
USA_HIL_HF2,2010-06-17,2016-11-15,2343,2933700
CHN_YUN_YUN,2010-10-15,2011-10-16,366,67568
BRA_CAM,2011-03-10,2011-11-24,259,31476
ESP_RON_PIL,2011-04-14,2013-12-15,975,228356
ESP_YUN_C2,2011-04-15,2014-11-14,1309,57951
USA_MOR_SF,2011-07-01,2013-08-23,784,16609
NZL_HUA_HUA,2011-07-06,2015-09-28,1545,716050
NLD_LOO,2012-01-01,2015-12-06,1434,176158
AUT_TSC,2012-03-13,2012-10-19,219,40529
CHN_YIN_ST3_DRO,2012-05-25,2012-08-26,92,36519
CHN_YIN_ST2_DRO,2012-05-25,2012-08-26,92,24548
CHN_YIN_ST1,2012-05-25,2012-08-26,92,60790
AUS_WOM,2012-12-31,2015-10-31,1034,286604
USA_PER_PER,2013-01-01,2013-12-01,333,337132
CHN_ARG_GWS,2013-04-30,2013-09-30,152,40386
CHN_ARG_GWD,2013-04-30,2013-09-30,152,40280
CHE_PFY_IRR,2013-06-06,2014-11-03,514,27925
CHE_PFY_CON,2013-06-06,2014-12-31,573,40191
