site,ndvi_count,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,cloud_cover_mean,date_min,date_max
ESP_YUN_C1,182,0.217,0.056,-0.017,0.272,5.526,2009-06-20,2014-11-09
FRA_PUE,118,0.258,0.033,0.131,0.312,5.856,2000-01-07,2011-10-20
NZL_HUA_HUA,99,0.283,0.072,0.034,0.386,9.668,2011-07-10,2015-08-06
AUS_ELL_MB_MOD,79,0.25,0.075,-0.325,0.302,5.456,2009-06-16,2011-12-15
ESP_RON_PIL,72,0.162,0.046,-0.016,0.227,5.768,2011-04-15,2013-12-08
PRT_MIT,71,0.223,0.071,0.042,0.358,5.155,2001-01-19,2003-12-10
ESP_MAJ_MAI,71,0.185,0.051,0.058,0.291,4.435,2015-02-12,2018-04-25
ESP_TIL_MIX,53,0.203,0.08,-0.018,0.305,6.82,2010-05-17,2013-09-22
THA_KHU,42,0.211,0.054,0.138,0.313,4.262,2006-12-14,2008-04-15
ESP_VAL_BAR,40,0.22,0.073,0.042,0.332,5.463,2003-07-01,2005-08-23
ESP_VAL_SOR,40,0.217,0.068,0.052,0.316,5.45,2003-07-01,2005-08-23
ZAF_FRA_FRA,36,0.221,0.028,0.148,0.259,5.897,2015-02-07,2016-01-17
CZE_LIZ_LES,36,0.248,0.104,-0.22,0.352,6.111,2007-06-24,2009-09-26
ITA_TOR,32,0.179,0.107,0.021,0.338,8.617,2015-03-23,2016-12-30
NLD_LOO,32,0.268,0.046,0.093,0.322,5.544,2012-05-23,2015-10-31
AUS_WOM,29,0.248,0.066,0.008,0.318,6.336,2013-01-10,2015-10-15
MEX_COR_YP,29,0.278,0.126,-0.262,0.368,7.31,2008-12-17,2010-04-27
CAN_TUR_P39_PRE,29,0.259,0.13,-0.23,0.37,7.138,2009-03-14,2011-10-06
USA_TNB,28,0.298,0.077,0.167,0.397,4.5,1998-08-05,1999-11-29
GUF_GUY_GUY,27,0.228,0.143,-0.183,0.403,11.683,2014-01-07,2016-04-02
ZAF_WEL_SOR,26,0.191,0.108,0.094,0.398,2.605,2013-11-24,2014-10-26
ZAF_NOO_E3_IRR,25,0.221,0.049,0.132,0.319,6.481,2008-08-06,2010-06-25
ESP_SAN_A2_45I,24,0.173,0.016,0.147,0.194,2.97,2013-06-14,2013-10-13
USA_TNY,22,0.271,0.135,0.093,0.48,6.0,1998-06-20,1999-11-14
CHN_ARG_GWD,22,0.024,0.006,0.01,0.031,6.325,2013-05-03,2013-09-24
CHE_DAV_SEE,21,0.099,0.112,-0.276,0.194,8.095,2010-01-22,2010-11-13
ZAF_RAD,20,0.226,0.069,0.016,0.293,9.702,2015-10-05,2016-06-01
BRA_CAM,20,0.22,0.065,0.03,0.292,7.05,2011-04-06,2011-09-29
ZAF_SOU_SOU,19,0.18,0.108,-0.159,0.264,9.844,2015-10-05,2016-06-01
USA_CHE_ASP,19,0.202,0.125,-0.013,0.433,5.263,2004-09-09,2005-07-02
CHE_PFY_CON,18,0.205,0.129,0.01,0.352,9.009,2013-06-13,2014-10-30
HUN_SIK,18,0.35,0.108,0.105,0.457,5.725,2014-05-23,2015-10-01
AUS_MAR_HSD_HIG,17,0.268,0.028,0.178,0.298,6.882,2010-03-15,2011-12-15
USA_INM,17,0.334,0.138,0.093,0.484,4.824,1998-06-25,1999-11-03
AUS_KAR,17,0.085,0.011,0.051,0.098,3.059,2008-04-23,2008-09-30
CHN_ARG_GWS,17,0.021,0.007,0.012,0.036,6.056,2013-05-03,2013-09-24
AUS_MAR_UBD,17,0.281,0.045,0.126,0.321,6.882,2010-03-15,2011-12-15
AUS_MAR_UBW,17,0.23,0.148,-0.344,0.288,6.882,2010-03-15,2011-12-15
FRA_HES_HE1_NON,16,0.348,0.118,0.159,0.459,7.235,1997-05-15,1999-09-10
CHN_HOR_AFF,15,0.169,0.061,0.066,0.267,6.723,2015-03-26,2015-10-12
USA_HIL_HF1_PRE,13,0.307,0.085,0.182,0.41,6.462,2010-06-23,2011-01-09
BRA_SAN,12,0.347,0.017,0.32,0.381,7.833,2008-07-18,2009-09-07
