schema,K,features_used,standardization,source
K-means (3 clusters),3.0,"longitude, latitude, latitude_abs, mean_annual_temp, mean_annual_precip, aridity_index, elevation, seasonal_temp_range...",scaled,ecosystem/evaluation/clustering_results\advanced_hybrid_20250804_062911\flexible_clustering_strategy_20250804_062911.json
preprocessing_summary_20250804_062911,,,,ecosystem/evaluation/clustering_results\advanced_hybrid_20250804_062911\preprocessing_summary_20250804_062911.json
GMM (5 clusters),5.0,"longitude, latitude, mean_annual_temp, mean_annual_precip, seasonal_temp_range, seasonal_precip_range, koppen_geiger_code_encoded, biome_code_encoded...",scaled,ecosystem/evaluation/clustering_results\biome_20250804_052947\flexible_clustering_strategy_20250804_052947.json
preprocessing_summary_20250804_052947,,,,ecosystem/evaluation/clustering_results\biome_20250804_052947\preprocessing_summary_20250804_052947.json
GMM (5 clusters),5.0,"longitude, latitude, mean_annual_temp, mean_annual_precip, seasonal_temp_range, seasonal_precip_range, koppen_geiger_code_encoded, biome_code_encoded...",scaled,ecosystem/evaluation/clustering_results\biome_20250804_062430\flexible_clustering_strategy_20250804_062430.json
preprocessing_summary_20250804_062430,,,,ecosystem/evaluation/clustering_results\biome_20250804_062430\preprocessing_summary_20250804_062430.json
GMM (5 clusters),5.0,"longitude, latitude, mean_annual_temp, mean_annual_precip, koppen_geiger_code_encoded, biome_code_encoded, igbp_class_code_encoded",scaled,ecosystem/evaluation/clustering_results\biome_20250807_004652\flexible_clustering_strategy_20250807_004652.json
preprocessing_summary_20250807_004652,,,,ecosystem/evaluation/clustering_results\biome_20250807_004652\preprocessing_summary_20250807_004652.json
GMM (5 clusters),5.0,"longitude, latitude, mean_annual_temp, mean_annual_precip, seasonal_temp_range, seasonal_precip_range, koppen_geiger_code_encoded, biome_code_encoded...",scaled,ecosystem/evaluation/clustering_results\biome_20250807_022412\flexible_clustering_strategy_20250807_022412.json
preprocessing_summary_20250807_022412,,,,ecosystem/evaluation/clustering_results\biome_20250807_022412\preprocessing_summary_20250807_022412.json
K-means (3 clusters),3.0,"longitude, latitude, elevation, mean_annual_temp, mean_annual_precip, seasonal_temp_range, seasonal_precip_range, koppen_geiger_code_encoded...",scaled,ecosystem/evaluation/clustering_results\climate_20250804_062454\flexible_clustering_strategy_20250804_062454.json
preprocessing_summary_20250804_062454,,,,ecosystem/evaluation/clustering_results\climate_20250804_062454\preprocessing_summary_20250804_062454.json
K-means (3 clusters),3.0,"longitude, latitude, elevation, mean_annual_temp, mean_annual_precip, koppen_geiger_code_encoded, biome_code_encoded, igbp_class_code_encoded",scaled,ecosystem/evaluation/clustering_results\climate_20250807_010438\flexible_clustering_strategy_20250807_010438.json
preprocessing_summary_20250807_010438,,,,ecosystem/evaluation/clustering_results\climate_20250807_010438\preprocessing_summary_20250807_010438.json
K-means (3 clusters),3.0,"longitude, latitude, elevation, mean_annual_temp, mean_annual_precip, seasonal_temp_range, seasonal_precip_range, koppen_geiger_code_encoded...",scaled,ecosystem/evaluation/clustering_results\climate_20250807_022542\flexible_clustering_strategy_20250807_022542.json
preprocessing_summary_20250807_022542,,,,ecosystem/evaluation/clustering_results\climate_20250807_022542\preprocessing_summary_20250807_022542.json
K-means (5 clusters),5.0,"longitude, latitude",scaled,ecosystem/evaluation/clustering_results\geographic_20250804_052913\flexible_clustering_strategy_20250804_052913.json
preprocessing_summary_20250804_052913,,,,ecosystem/evaluation/clustering_results\geographic_20250804_052913\preprocessing_summary_20250804_052913.json
K-means (5 clusters),5.0,"longitude, latitude",scaled,ecosystem/evaluation/clustering_results\geographic_20250804_062516\flexible_clustering_strategy_20250804_062516.json
preprocessing_summary_20250804_062516,,,,ecosystem/evaluation/clustering_results\geographic_20250804_062516\preprocessing_summary_20250804_062516.json
K-means (5 clusters),5.0,"longitude, latitude",scaled,ecosystem/evaluation/clustering_results\geographic_20250807_004232\flexible_clustering_strategy_20250807_004232.json
preprocessing_summary_20250807_004232,,,,ecosystem/evaluation/clustering_results\geographic_20250807_004232\preprocessing_summary_20250807_004232.json
K-means (5 clusters),5.0,"longitude, latitude",scaled,ecosystem/evaluation/clustering_results\geographic_20250807_022507\flexible_clustering_strategy_20250807_022507.json
preprocessing_summary_20250807_022507,,,,ecosystem/evaluation/clustering_results\geographic_20250807_022507\preprocessing_summary_20250807_022507.json
kmeans_robust_3,3.0,,robust,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_robust_4,4.0,,robust,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_robust_5,5.0,,robust,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_robust_6,6.0,,robust,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_robust_7,7.0,,robust,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_robust_8,8.0,,robust,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_standard_3,3.0,,standard,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_standard_4,4.0,,standard,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_standard_5,5.0,,standard,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_standard_6,6.0,,standard,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_standard_7,7.0,,standard,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_standard_8,8.0,,standard,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_minmax_3,3.0,,minmax,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_minmax_4,4.0,,minmax,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_minmax_5,5.0,,minmax,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_minmax_6,6.0,,minmax,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_minmax_7,7.0,,minmax,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_minmax_8,8.0,,minmax,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_power_3,3.0,,power,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_power_4,4.0,,power,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
kmeans_power_5,5.0,,power,ecosystem/evaluation/clustering_results\inital\advanced_clustering_strategies_20250722_112311.json
