feature,dtype,note
aridity_index,float64,
basal_area,float64,
biome_code,int64,
clay_percentage,float64,meteorological
elevation,int64,
ext_rad,float64,meteorological
growth_condition_code,int64,
igbp_class_code,int64,
igbp_code,float64,
koppen_geiger_code_encoded,int64,
latitude,float64,
latitude_abs,float64,
leaf_area_index,float64,
leaf_habit_code,int64,
longitude,float64,
mean_annual_precip,float64,meteorological
mean_annual_temp,float64,meteorological
n_trees,int64,
pl_age,float64,
pl_bark_thick,int64,
pl_dbh,float64,
pl_height,float64,
pl_leaf_area,float64,
pl_sapw_area,float64,
pl_sapw_depth,float64,
pl_social_code,int64,
ppfd_in,float64,
precip,float64,meteorological
rh,float64,meteorological
sand_percentage,float64,meteorological
sap_flow,float64,
sapwood_leaf_ratio,float64,
silt_percentage,float64,meteorological
social_status_code,float64,meteorological
soil_depth,int64,
soil_texture_code,int64,
species_functional_group_code,int64,
stand_age,int64,meteorological
stand_height,int64,meteorological
sw_in,float64,meteorological
swc_shallow,float64,meteorological
ta,float64,meteorological
terrain_code,float64,
tree_age_class_code,float64,
tree_density,float64,
tree_size_class_code,int64,
tree_volume_index,float64,
vpd,float64,meteorological
ws,float64,
