feature,importance
f107,1345187.5
f110,459724.21875
f126,304567.03125
f105,239407.0
f133,223466.875
f7,203324.59375
f117,179637.53125
f112,179475.65625
f116,166185.03125
f106,147688.390625
f140,110401.3359375
f81,108410.1796875
f109,106764.28125
f1,104485.03125
f59,104357.0390625
f6,100357.796875
f52,94442.453125
f20,85520.7265625
f125,85502.0859375
f70,78163.1640625
f114,77991.609375
f134,74528.8125
f139,73216.234375
f2,68625.8203125
f8,68048.2421875
f144,66200.78125
f92,64825.953125
f132,60371.05859375
f119,59603.17578125
f137,56783.37109375
f3,55770.95703125
f93,55332.3828125
f108,53022.2734375
f71,52130.53125
f136,51118.0234375
f68,50799.27734375
f78,49795.2265625
f118,49702.5078125
f50,48052.0546875
f4,47289.125
f69,45938.15625
f27,45184.671875
f26,44271.55078125
f124,44183.83203125
f102,43285.47265625
f51,42601.7421875
f83,39849.15625
f127,39547.25390625
f21,38524.28515625
f122,36418.140625
f120,34339.43359375
f113,34057.40234375
f115,33911.2734375
f43,32139.61328125
f121,31849.765625
f148,31040.9375
f123,30995.505859375
f73,30767.951171875
f138,28431.3984375
f66,26442.037109375
f135,25610.6953125
f0,24968.365234375
f42,23160.810546875
f80,22419.4140625
f5,21739.705078125
f95,21643.603515625
f82,21492.78515625
f143,21354.744140625
f129,20762.337890625
f131,20146.560546875
f111,20112.81640625
f130,19673.703125
f57,19204.533203125
f41,18349.01171875
f94,17889.298828125
f61,17839.681640625
f142,16127.1708984375
f32,16019.27734375
f141,15923.837890625
f128,15460.5478515625
f31,15436.5087890625
f44,15300.3125
f39,15081.8486328125
f101,14903.8388671875
f151,14801.6005859375
f14,14680.9306640625
f48,13986.96875
f87,13218.58984375
f56,11628.50390625
f15,11299.12109375
f88,11250.4755859375
f63,10692.697265625
f23,10603.67578125
f145,10575.3466796875
f100,10125.322265625
f65,10012.5166015625
f89,9951.935546875
f104,9946.4345703125
f67,9789.978515625
f91,9648.962890625
f147,9391.158203125
f19,8911.0302734375
f90,8790.4541015625
f46,8620.4013671875
f45,8573.9130859375
f146,8348.1259765625
f77,8263.294921875
f76,8225.8935546875
f40,8172.0341796875
f11,8030.88720703125
f64,7970.09619140625
f55,7869.4326171875
f98,7787.07080078125
f75,7748.396484375
f85,7484.482421875
f86,7099.705078125
f17,7007.70361328125
f29,6997.11474609375
f79,6936.1806640625
f38,6846.4638671875
f34,6416.2275390625
f96,6074.3359375
f62,6047.7568359375
f72,6031.873046875
f58,5840.275390625
f9,5617.7919921875
f16,5604.1708984375
f30,5112.83154296875
f22,4845.5166015625
f28,4828.77685546875
f47,4715.15185546875
f24,4638.8212890625
f103,4618.0234375
f74,4544.15283203125
f35,4480.3720703125
f99,4387.74365234375
f13,4272.4091796875
f10,4152.7138671875
f53,4104.9072265625
f84,4047.57470703125
f12,3901.166748046875
f60,3873.379150390625
f18,3869.671875
f49,3712.43701171875
f25,3415.958740234375
f97,3093.510986328125
f54,2891.45263671875
f33,2886.58984375
f150,1827.92919921875
f37,1071.5330810546875
f36,914.2723999023438
